company,role,salary,JD
Kimberly- Clark Singapore Pte Ltd,Data Science Intern,"$1,500 - 1,800 ","Title: Data Science InternJob descriptionWe are looking for a data science intern who will be responsible for applying data mining techniques, doing statistical analysis, and providing business insights and recommendations across our Marketing and Sales analytics functions. This role will work closely with APAC Data Scientist for implementing advanced analytics roadmap across Asia Pacific markets.ResponsibilitiesProcessing, cleansing, and verifying the integrity of data used for analysis and modelingSelecting features, building and optimizing regression and classifier models using machine learning techniquesBuild scalable models and frameworks to support key marketing and sales initiatives delivering pragmatic, actionable insightsExtending company s data with third party sources of information when neededAdditionally provide ad-hoc analysis and presenting results in a clear mannerRequirementsGood understanding of machine learning techniques (regression, classification and clustering) and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.Experience with common data science toolkits, such as SQL, R, Python (NumPy) etc. Excellence in at least one of these is highly desirableGood applied statistics skills, such as distributions, statistical testing, regression, etc. is a plusProficiency in using query languages such as SQL, Hive, Pig is a plusAbility to thrive in a dynamic, fast-paced environmentPro-active and willing to learnPrior experience in developing Market Mix Models, Consumer Segmentation, Pricing and Promotion analysis is a plu"
6Estates Pte Ltd,Data Analyst Intern,"$800 - 1,000 ",KEY RESPONSIBILITIESAssist Data Scientists on algorithm optimizationsAssist to annotate and label large amount of dataAssist to turn Big Data into insightsREQUIREMENTSAll students are welcomed to apply.  Computing and/or Stats background is a strong plusInterested and knowledgeable in big data technology.Team player and meticulous in detailsFluent in English and MandarintailsFluent in English and Manda
6Estates Pte Ltd,Data Engineer Intern,"$800 - 1,000 ","6Estates was founded by data scientists and tech entrepreneurs to solve real world challenges presented by the explosion of data on different digital platforms.Building upon years of research on big data analytics from NExT, a research centre established between National University of Singapore (NUS) and Tsinghua University of China, 6Estates develops state-of-the-art tools that can gather, analyse and predict digital signals about organisations, products, brands, people, location and events, to deliver real-time, deep intelligence to businesses to enable critical and time-sensitive decision making on marketing, product development, manufacturing and customer service.We are now looking for candidates who can communicate, read and write Chinese and love to explore the area of Natural Language Processing.KEY RESPONSIBILITIESAssist Data Crawling Engineer to sift through applicable websiteAssist to organise unstructured data on website to structured dataREQUIREMENTSComputing background is a mustHave knowledge in HTML, CSS, JavascriptHave knowledge in basic Database ManagementTeam player and meticulous in detailsFluent in English and Manda"
Kimberly- Clark Singapore Pte Ltd,Data Science Intern,"$1,500 - 1,800 ","Title: Data Science InternJob descriptionWe are looking for a data science intern who will be responsible for applying data mining techniques, doing statistical analysis, and providing business insights and recommendations across our Marketing and Sales analytics functions. This role will work closely with APAC Data Scientist for implementing advanced analytics roadmap across Asia Pacific markets.ResponsibilitiesProcessing, cleansing, and verifying the integrity of data used for analysis and modelingSelecting features, building and optimizing regression and classifier models using machine learning techniquesBuild scalable models and frameworks to support key marketing and sales initiatives delivering pragmatic, actionable insightsExtending company s data with third party sources of information when neededAdditionally provide ad-hoc analysis and presenting results in a clear mannerRequirementsGood understanding of machine learning techniques (regression, classification and clustering) and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.Experience with common data science toolkits, such as SQL, R, Python (NumPy) etc. Excellence in at least one of these is highly desirableGood applied statistics skills, such as distributions, statistical testing, regression, etc. is a plusProficiency in using query languages such as SQL, Hive, Pig is a plusAbility to thrive in a dynamic, fast-paced environmentPro-active and willing to learnPrior experience in developing Market Mix Models, Consumer Segmentation, Pricing and Promotion analysis is a plu"
Kimberly- Clark Singapore Pte Ltd,Digital Data Analytics Intern,"$900 - 1,500 ","descriptionResponsible for developing digital media and CRM analytics across Asia Pacific Markets to providing insights for media planning and optimization as well as improving engagement and retention through CRM programs. This role will work closely with APAC Data Scientist for implementing analytics frameworks and guidance across Asia Pacific markets.ResponsibilitiesAnalyze historical digital media performance data and provide insights for optimizing across channels, formats and publishersDevelop benchmarks for key performance indicators by publishers and channelsDevelop and maintain CRM performance dashboard across markets and generate performance scorecardsCreate monthly APAC scorecard by market for monitoring Media Performance and Cost EfficiencyAdditionally provide adhoc analytics support to Country Digital Leads or Country Marketing ManagerRequirementsExcel fluency is a mustPrevious data analysis experience- media or tech company is a plusGood understanding of statistics and analytical mindsetHighly organized and strong attention to detailComfort with both quantitative and qualitative analysisAbility to thrive in a dynamic, fast-paced environmentPro-active and willing to lea"
Kimberly- Clark Singapore Pte Ltd,Data Science Intern,"$1,500 - 1,800 ","descriptionWe are looking for a data science intern who will be responsible for applying data mining techniques, doing statistical analysis, and providing business insights and recommendations across our Marketing and Sales analytics functions. This role will work closely with APAC Data Scientist for implementing advanced analytics roadmap across Asia Pacific markets.ResponsibilitiesProcessing, cleansing, and verifying the integrity of data used for analysis and modelingSelecting features, building and optimizing regression and classifier models using machine learning techniquesBuild scalable models and frameworks to support key marketing and sales initiatives delivering pragmatic, actionable insightsExtending company s data with third party sources of information when neededAdditionally provide ad-hoc analysis and presenting results in a clear ma"
6Estates Pte Ltd,Data Crawling Engineer Intern,"$800 - 1,000 ","6Estates was founded by data scientists and tech entrepreneurs to solve real world challenges presented by the explosion of data on different digital platforms.Building upon years of research on big data analytics from NExT, a research centre established between National University of Singapore (NUS) and Tsinghua University of China, 6Estates develops state-of-the-art tools that can gather, analyse and predict digital signals about organisations, products, brands, people, location and events, to deliver real-time, deep intelligence to businesses to enable critical and time-sensitive decision making on marketing, product development, manufacturing and customer service.We are now looking for candidates who can communicate, read and write Chinese and love to explore the area of Natural Language Processing.KEY RESPONSIBILITIESAssist Data Crawling Engineer to sift through applicable websiteAssist to organise unstructured data on website to structured dataREQUIREMENTSComputing background is a mustHave knowledge in HTML, CSS, JavascriptHave knowledge in basic Database ManagementTeam player and meticulous in detailsFluent in English and Manda"
Shentilium,Data Visualization and Wrangling Intern,"$850 - 1,500 ","Responsibilities You will be working together closely with some of the best data scientists in Singapore and Asia to develop game-changing machine learning systems and technologies targeted at the finance industry. As part of our company culture, you will also have the opportunity to gain valuable insights into entrepreneurship, machine learning, data analytics techniques, finance, and more.Utilize various statistical and machine learning methods to mine relationships, extract patterns and features, or otherwise derive value from dataPerform ETL, data cleaning and data crowdsourcing tasks in preparation for data analysisProvide input and contribute to strategic decisions regarding the development of our data analytics product suiteWork as part of a team and communicate ideas and feedback effectivelyRequirements Currently pursuing a degree in a quantitative discipline or equivalentProficient in HTML, CSS, and Javascript (at least 6 months)Fluent in PythonFluent with a wide variety of statistical analysis and machine learning techniquesExperience in data visualisation and charting libraries such as HighCharts/D3 favourableGood communication skillsAble to deliver good work within tight deadlinesFamiliarity with pandas and bash scripting favourabl"
6Estates Pte Ltd,Data Crawling Engineer,"$1,000 ","KEY RESPONSIBILITIESAssist Data Crawling Engineer to sift through applicable websiteAssist to organise unstructured data on website to structured dataREQUIREMENTSComputing background is a mustHave knowledge in HTML, CSS, JavascriptHave knowledge in basic Database ManagementTeam player and meticulous in detailsFluent in English and Manda"
Kimberly- Clark Asia Pacific Headquarters Pte Ltd,Digital Data Analytics Intern,"$900 - 1,800 ","gital Data Analytics Intern, Asia PacificResponsible for developing digital media and CRM analytics across Asia Pacific Markets to providing insights for media planning and optimization as well as improving engagement and retention through CRM programs. This role will work closely with APAC Data Scientist for implementing analytics frameworks and guidance across Asia Pacific markets.Job descriptionResponsibilitiesAnalyse historical digital media performance data and provide insights for optimizing across channels, formats and publishersDevelop benchmarks for key performance indicators by publishers and channelsDevelop CRM performance dashboard across markets and generate performance scorecardsSupport Data Scientist with segmentation of audiences to introduce A/B testing in CRM programsAdditionally provide adhoc analytics support to Country Digital Leads or Country Marketing ManagersCreate monthly APAC scorecard by market for monitoring Media Performance and Cost EfficiencyRequirementsUndergraduates preferredExcel fluency is a mustPrevious data analysis experience- media or tech company is a plusGood understanding of statisticsHighly organized and strong attention to detailComfort with both quantitative and qualitative analysisAbility to thrive in a dynamic, fast-paced environmentPro-active and willing to lea"
Woodpecker Asia Tech Pte Ltd (GoBear),Big Data Intern,"$800 - 1,200 ","The Role:Reporting to the Data Scientist, the Big Data Intern will get hands on experience with Google Analytics, Google Big Query and creating reports using Tableau. The intern may also be drafted into a team implementing various Big Data solutions for further enhancement of the analytics framework of GoBear. The ideal candidate should have a keen interest in mathematics, statistics and/or computer science.The internship will provide the candidate with the opportunity and the freedom of working in a startup environment.  By the end of the internship the candidate is expected to gain a strong foothold in the domain of Analytics and Big Data.Duration:4-6 Months, Full-Time. What we expect from you:An eager learner.Create insights from data in Google Analytics and Google Big Query.Build data reports for internal teams in GoBear.Complete ad-hoc projects and tasks as required.Work hands-on and share knowledge between team members.Requirements:Background in quantitative disciplines such as mathematics, engineering, computer science, statistics and economics. Proficient oral and written communication in English, as well as effective interpersonal and communication skills.Good time management and prioritization skills.Experience with R, Python and SQL is an advantage."
Kimberly- Clark Asia Pacific HQ Pte Ltd,Digital Data Analytics Intern,"$900 - 1,800 ","Responsible for developing digital media and CRM analytics across Asia Pacific Markets to providing insights for media planning and optimization as well as improving engagement and retention through CRM programs. This role will work closely with APAC Data Scientist for implementing analytics frameworks and guidance across Asia Pacific markets.Job descriptionResponsibilitiesAnalyse historical digital media performance data and provide insights for optimizing across channels, formats and publishersDevelop benchmarks for key performance indicators by publishers and channelsDevelop CRM performance dashboard across markets and generate performance scorecardsSupport Data Scientist with segmentation of audiences to introduce A/B testing in CRM programsAdditionally provide adhoc analytics support to Country Digital Leads or Country Marketing ManagersCreate monthly APAC scorecard by market for monitoring Media Performance and Cost EfficiencyRequirementsExcel fluency is a mustPrevious data analysis experience- media or tech company is a plusGood understanding of statisticsHighly organized and strong attention to detailComfort with both quantitative and qualitative analysisAbility to thrive in a dynamic, fast-paced environmentPro-active and willing to lea"
6Estates Pte Ltd,Data Crawling Engineer Intern,"$1,000 ","KEY RESPONSIBILITIESAssist Data Crawling Engineer to sift through applicable websiteAssist to organise unstructured data on website to structured dataREQUIREMENTSComputing background is a mustHave knowledge in HTML, CSS, JavascriptHave knowledge in basic Database ManagementTeam player and meticulous in detailsFluent in English and Manda"
6Estates Pte Ltd,Data Analyst Intern,"$1,000 ",KEY RESPONSIBILITIESAssist Data Scientists on algorithm optimizationsAssist to annotate and label large amount of dataAssist to turn Big Data into insightsREQUIREMENTSAll students are welcomed to apply.  Computing and/or Stats background is a strong plusInterested and knowledgeable in big data technology.Team player and meticulous in detailsFluent in English and Manda
Woodpecker Asia Tech Pte Ltd (GoBear),Big Data Intern,"$800 - 1,500 ","The Role:Reporting to the Data Scientist, the Big Data Intern will get hands on experience with Google Analytics, Google Big Query and creating reports using Tableau. The intern may also be drafted into a team implementing various Big Data solutions for further enhancement of the analytics framework of GoBear. The ideal candidate should have a keen interest in mathematics, statistics and/or computer science.The internship will provide the candidate with the opportunity and the freedom of working in a startup environment.  By the end of the internship the candidate is expected to gain a strong foothold in the domain of Analytics and Big Data.Duration: 4-6 Months, Full-Time. What we expect from you:An eager learner.Create insights from data in Google Analytics and Google Big Query.Build data reports for internal teams in GoBear.Complete ad-hoc projects and tasks as required.Work hands-on and share knowledge between team members.Requirements:Background in quantitative disciplines such as mathematics, engineering, computer science, statistics and economics. Proficient oral and written communication in English, as well as effective interpersonal and communication skills.Good time management and prioritization skills.Experience with R, Python and SQL is an advantag"
6Estates Pte Ltd,Data Analytics Intern,"$1,000 ","KEY RESPONSIBILITIESAssist Data Scientists on algorithm optimizationsAssist to annotate and label large amount of dataAssist to turn Big Data into insightsREQUIREMENTSInterested and knowledgeable in big data technology.Team player and meticulous in detailsAll students (approved educational institutions ~ http://www.mom.gov.sg/passes-and-permits/work-pass-exemption-for-foreign-students) are welcomed to apply.  Those with Computing and/or Stats background will be a strong plusThose who possess a valid working pass may also apply.Fluent in English and MandarinMust be able to read and write ChineseREMUNERATIONSGD1,000 per month"
HydroDesk,Full Stack Software Engineer / Computer Scientist,"$5,000 - 8,000 ","Please note that this is a full time job and not an internship.Why Would I Do This? Why Are You Doing This?I like to think about what an energy miracle like that would mean in a slum I once visited in Nigeria. It was home to tens of thousands of people but there was no electricity. As night fell, no lights flickered on. The only glow came from open fires lit in metal barrels, where people gathered for the evening. There was no other light for kids to study by, no easy way to run a business or power local clinics and hospitals. It was sad to think about all of the potential in this community that was going untapped. A cheap, clean source of energy would change everything. Read MoreBill Gates, 2016 Annual LetterElon s already doing solar and transport: solve problems nobody else is looking at, let's make Elon proud! If Elon's not enough for you, make Bill Gates proud too.We need your help to change the world at its source, the conversion of energy, at scale and in a pragmatically disruptive manner.You will be at the crossroads of  cool  things such as big data, GIS, cleantech, computer vision while making a meaningful dent in the  offline  reality of our desperate need for electricity and the mitigation of anthropogenic climate change.We can only call it  super multidisciplinary  - there s computer science+math, software engineering, UI/UX, data science and statistics, hydrology, geodesy, geology, hydraulic, civil, electrical and mechanical engineering plus all the business development, market development and so on. Hydropower is traditionally hard but we can make it easier with HydroDesk.We are still in a garage like moment and we would love to share super early employee equity (aka a lot) and share the chance to build a great organization together with you.There's Three of Us1 engineer/investment manager in hydropower who managed US$500 million worth of renewable projects around South East Asia. He does the business development as well as the conversion of physical engineering to machine representation.1 computer scientist who previously founded and ran a computer vision startup for 2 years and then was a lead engineer at another for 4 years - a specialist in graphs and computer vision (image recognition). He works on the algorithmic C++  all the way at the back -end.1 full stack software engineer who spent the past 2 years developing an app scaled to >1 million users across SEA. He takes care of our web stack in python and angular.I Have Never Seen a Dam/Hydropower Plant Before! What Does the Market Look Like?Solar currently supplies about 1% of global electricity generation. Hydro supplies 17%! Batteries are cool? Hydropower currently serves 97% of global energy storage through a method called pumped storage. In 2015, we saw about 66GW (equivalent) of hydropower installed and 59GW of solar installed.Specific Technical Topics to SolveEarth Chess (more computer science): raster pathfinding, computer vision of satellite imagery, data harmonization and statistics, dynamic optimization in >20 dimensions of recursive components.Web Stack (more software development): efficient delivery of geo databases (maps, meteo data, sub-surface properties etc.), terabyte scale image data pipelining and processing, designing appropriate front-end for users who are industrial engineers, visual communications and documentation such as reports, 3D renderings etc.General Job Requirements and DescriptionA basic degree in computer science.Above all else, you must be able to demonstrate curiosity, a track record of learning fast, a desire to know something inside-out, OCD on details, values perfection over deadlines and you want to make a difference.If you are a fresh graduate, you should have completed internships, hackathons, research and coding projects.We have two roles - one more focused on Computer Science and another on Software Engineering.Computer Science: An interest and pursuit in algorithms. C/C++/Python with general experience in libraries such as Boost/numpy, being able write and compile with CMake/gcc/CLANG, implementing theses and papers into working code, debugging in badly documented and obscure environments. OpenCV experience a plus but not necessary. Some experience in computer vision, path-finding, machine learning, optimization or large data processing will be pluses.Software Engineering: experience in AngularJS or any other MVVM which consumes a web-backend API, knows how a ORM(ed) SQL db behaves and have set up db schemas before that balances efficiency and syntactic convenience, experience working in a team following best practice style guides, understands the importance of architecture, clean code, comments and tests (understands all these things primarily because you once screwed up big time before and spent days refactoring a mess that nobody can read), understands the relevance of team philosophies such as agile, bug tracking etc. Experience in Python/Flask and writing BASH scripts, administering servers will also be great pluses.Engineering StackC++, Postgres, OpenCV, Python Angular + various GIS frameworks/technologies.Civil-Mechanical-Electrical-Hydraulic Engineering.Geotechnical engineering, hydrology,GIS/geodesy.Vision and ValuesOur current age of information must lead to an age of space, an age of longevity but we need to get our energy and climate change problems, our source of prosperity, out of the way.Our immediate focus is to help project developers prospect and design 2,000GW (electrification for 2 billion households) of hydropower plants globally.We embrace the cultures of a startup: learning, failing, iteration, execution and vision (i.e. urgent vs. important), free food, transparency, sharing, love for product, no evil, making a difference etc.However we never forget that we are also a business: one where customers submit purchase orders, we keep our promises and they write us checks, we never miss payroll and there s insurance for all our employees  families and we pay our taxes."
GoBear,Big Data Intern,"$800 - 1,500 ","The Role:Reporting to the Data Scientist, the Big Data Intern will get hands on experience with Google Analytics, Google Big Query and Tableau. The intern may also be drafted into a team implementing various Big Data solutions for further enhancement of the analytics framework of GoBear. The ideal candidate should have a keen interest in mathematics, statistics and/or computer science. The internship will provide the candidate with the opportunity and the freedom of working in a startup environment. By the end of the internship the candidate is expected to gain a strong foothold in the domain of Analytics and Big Data. What we expect from you:-	An eager learner. -	Create insights from data in Google Analytics and Google Big Query. -	Build data reports for internal teams in GoBear. -	Complete ad-hoc projects and tasks as required.-	Work hands-on and share knowledge between team members.Requirements:-	Background in quantitative disciplines such as mathematics, engineering, computer 	science, statistics or economics.  -	Proficient oral and written communication in English, as well as effective interpersonal and 	communication skills.-	Good time management and prioritization skills.-	Experience with R, Python and SQL is an advantage.Additional Perks:Our office is located in a beautifully renovated shophouse in the CBD with a pool table and other gaming facilities. There are plenty of interesting restaurants, bars and shops in the area. "
HRBoss Pte Ltd,Workforce Data Analyst Intern,"$1,000 ","Role:Proficient in generating Reports and Dashboards, improving quality of the product by doing a user testing, and Genius in managing client s request/implementation.Responsibilities:Understanding of organization business problems and design reports/dashboards based on  HR KPI metrics.Analyze and create Data Sets that could be used for reports/dashboards.Video creation for the presentation of the reports and dashboards.Gain knowledge on product features and be able to demonstrate the features to prospectsPrepare training video of the productTo perform user acceptance testing of the productsAssist Sales and Marketing team in providing sales collateral that s aligned to the HR Data Analytics.To support Client Solutions team in doing the implementation of Data Analytics product.Ability to conduct training to clientsRequirements:Undergraduates / Degree holders in IT related studiesPossess strong honesty, integrity and confidentialityStrong customer service skills and putting emphasize on customer successVery detail oriented and hands on experience with software supportAbility to organize, multitask and prioritize simultaneous assignments with minimal direct supervisionStrong organization and time management skillsKeep detailed records regarding problems, causes, and resolutionsPractical hands on experience with Data Analytics, Reporting or Statistical Software.Ability to manage technical and non-technical resourcesStrong people management skill so able to manage multiple internal and external stakeholdersWho we're looking for:We hope to hear from the most talented professionals with the following characteristics:Cheerful disposition, dependable, meticulous, flexible on job scope, punctual in attendance & reporting;You will operate with the highest levels of integrity and as the face of HRBoss; you will be a passionate member of our dynamic team."
Healint Pte Ltd,Data Analytics Intern,$400 - 800 ,"Roles and Responsibilities - What Will I Be Doing?Healint is looking for a motivated Data Analytics intern to join our team. The position will be responsible for cleaning and transforming data collected from Android phone applications and wearables, for a sleep prediction machine-learning algorithm. The position will also be working closely with the Lead Data Scientist and the production team to handle analytics tools implemented for the technical project.-	Handle a broad range of data requiring intelligence pre and post-processing.-	Processing data captured from Android phone applications and wearables.Requirements - What Skills Do I Need?BasicDiploma and above in relevant fields of study such as computer science, statistics, and mathematics.Mathematical background, you pushed your understanding of Statistics and computer science in order to make a real difference in the field of  Data-Science .Passion for Data Analytics, making data intelligible, getting more insights from the existing data, and allowing the human more conscious of those patterns he lives in and follows.Ability to work multitask and work under pressure.Fast learner and good problem solving skills.PlussesExperience with data from sensors. "
The Stakeholder Company Pte Ltd,Data Analyst,$7 hour,"The Data Analyst is central to the development of the volume, accuracy and
quality of the company s core data sets through stakeholder and issue driven
research and data collection.
Your core tasks will be to
Collect and evaluate information on stakeholders (individuals and organisations) and relationshipsIdentify news sources for specific projects, define filter criteria and evaluate relevant news items.Further tasks can be added according to your interests and performance."
IBM Singapore,Online Video Data Analyst,$600 - 800 ,"To demarcate ( annotate ) persons in crowded transit videos.  
The work involves meticulously marking the outlines of individual persons in the video frames using annotation graphic user interface.  No previous experience with annotation is required and training for the annotation software will be provided for the selected interns. "
Tessa Therapeutics Pte Ltd,Research Engineer Intern,"$1,500 ","Tessa Therapeutics has built up a data science team within its R&D department to harness its data and discover powerful insights in order to improve its VST platform. The data science team is looking for a highly motivated and enthusiastic research engineer intern who is interested in working on unique problems in an innovative and passionate environment.Internship PositionResearch engineer internReports toData ScientistLocationSingaporeInternship Description- Benchmark existing clustering algorithms for Genomics and Proteomics datasets- Implementation and optimization of the best performing algorithms- Integration into the data processing pipelineRequirements- Student from Bachelor s/ Master s Degree in Computer Science/Electrical Engineering/Computational biology- Python- R- Proactive with a can-do attitude,- Scientific mindset- Curious to learn new concepts from Data Science and Immunology- Team Spirit- Proficient in English"
Wunderman Singapore,Account Coordinator Intern (Social),$800 ,"SUMMARY: The Account Coordinator Intern provides day-to-day support/services to assigned clients. The incumbent is responsible for delivering quality materials on time and on budget. The Account Coordinator intern supports and collaborates with team members on tactical and strategic aspects of the account. KEY RESPONSIBILITIES:  Accountability for the day-to-day execution and financial management of assigned accounts.  Attend and facilitate (as appropriate) all status meetings, client meetings and client calls  Assist in the participation in marketing planning and execution of operational/tactical aspects of campaigns  Assist in monitoring both client and agency budgets, including oversight of campaign costs  Act as a liaison between all departments and the client to ensure a timely completion of projects  Any other reasonable duties, functions or responsibilities assigned to you fromtime to timeREQUIRED SKILLS:  Thorough understanding of agency functions  Strong communication skills  Excellent organizational, time and self-management skills  Detail-oriented, with excellent follow through skills  Strong sense of initiative and ability to work under pressurePREFERRED QUALIFICATIONS:  Minimum of a Bachelor of Arts/Science degree; Marketing, Business or Communications degree preferred  Comprehensive understanding of general marketing practices  Strong computer skills and proficiency in Microsoft Off"
Tessa Therapeutics,Software Developer Intern,"$800 - 1,500 ","Tessa Therapeutics has built up a data science team within its R&D department to harness its data and discover powerful insights in order to improve its VST platform. The data science team is looking for a highly motivated and enthusiastic research engineer intern who is interested in working on unique problems in an innovative and passionate environment.Internship PositionSoftware developer internReports toData ScientistLocationSingaporeInternship Description- Imagine and develop creative graphs to visualize high dimensional data- Embed visualizations into a user-friendly dashboard- Architect python back-end server to fetch data from various sources- Integrate UI with back-end python serverRequirements- Student from Bachelor s/ Master s Degree in Computer Science/Engineering- Javascript (React, D3.js)- Familiarity with a Python web framework such as Flask or Django- Familiarity with R, Git and SQL are a plus- Proactive with a can-do attitude,- Scientific mindset- Curious to learn new concepts from Data Science and Immunology- Team Spirit- Proficient in English"
Tessa Therapeutics Pte Ltd,Research Engineer Intern,"$800 - 1,500 ","Tessa Therapeutics has built up a data science team within its R&D department to harness its data and discover powerful insights in order to improve its VST platform. The data science team is looking for a highly motivated and enthusiastic research engineer intern who is interested in working on unique problems in an innovative and passionate environment.Internship PositionResearch engineer internReports toData ScientistLocationSingaporeInternship Description- Benchmark existing clustering algorithms for Genomics and Proteomics datasets- Implementation and optimization of the best performing algorithms- Integration into the data processing pipelineRequirements- Student from Bachelor s/ Master s Degree in Computer Science/Electrical Engineering/Computational biology- Python- R- Proactive with a can-do attitude,- Scientific mindset- Curious to learn new concepts from Data Science and Immunology- Team Spirit- Proficient in English"
Wunderman Singapore,Junior Planning Intern,$800 ,"We are looking for a Junior Planning Intern to join the Planning team. Your role will involve research, social media marketing, brand and digital strategy. We are looking for someone interested in collaboration and ideation. A perfectionist on an inquisitive mission. Someone ready and willing to learn   and prepared to teach us something we don t know, that only you can bring to the table.What you ll do:  Conduct consumer research, competitive analysis, social listening, marketing and digital audits  Work with the planning team to create inspiring briefs that can be translated into great ideas through research into human psychology, culture, and data  Develop and communicate a clear Point of View on the latest digital trends and consumer behaviour for both clients and colleagues  Develop expertise across different digital and marketing disciplines as a subject matter expertWhat you ll need:  Ability to translate research into actionable insights and build an articulate case of recommendations  Passionate about marketing and digital strategy, knowledge of social media platforms, trends, and best practices  Highly collaborative; team player  Self-starter; able to juggle multiple projects at once  Excellent written, verbal and presentation skill"
Wunderman Pte Ltd,Regional Communications Coordinator,"$800 - 1,500 ","The Regional Communications Coordinator will be focusing mainly on internal and external communications within the Asia Pacific region. This role is based in Singapore.What you ll be responsible for    Act as APAC point of contact to support local offices to access regional and network assets for new business purposes  Monthly reporting with APAC offices and preparing new business performance reports  Public relations (press/journalists) and press release writing  Creative awards management  Management of network tools  Network support and coordinationWhat experiences, skills and trades we re looking for    Bachelor s degree  Relevant work experience a bonus  Excellent written and verbal communication and interpersonal skills  Strong organizational and multitasking skills  Confident, articulate and able to thrive in a fast-paced environment  IT literate in MS off"
Wunderman Singapore,Account Coordinator Intern (Advertising),$800 ,"What you ll be responsible for   - Supporting key account management for the agency and client  - Servicing clients on a day-to-day basis to ensure all deliverables are met  - Understanding and communicating client s business objectives  - Building and maintaining a good relationship with the client  - Working with the Account Manager to develop long and short-term marketing and advertisinginitiatives  - Helping the client evaluate effectiveness of marketing and advertising programmes andmonitoring competitive activities and planning appropriate response/action  - Working with the Creative team to ensure creative development is on strategy and meetsClient s expectationsWhat experiences, skills and trades we re looking for   - Strong passion and interest in advertising  - Strong ability to present, write and sell Agency thinking and work  - Solid presentation and project management skills  - Excellent interpersonal and relationship-building skills with clients  - Knowledge of all agency functional areas in order to monitor, evaluate and impact the quality ofwork from strategy development to the finished product (this includes production, media,research, etc.)  - Agency experience is a bonu"
Wunderman Singapore,Account Coordinator Intern,$800 ,"The Account Coordinator Intern is responsible for coordinating, executing andleading Agency resources in order to meet Client(s) marketing and advertising needs. The AccountCoordinator Intern works closely with the Account Manager to ensure the development of the highestquality advertising product. Internship in Wunderman is MORE than just an intern. You deal with real workplace situations. You solve problems with your team on a daily basis. You brainstorm for ideas to improve the company and garner results. You shadow an industry mentor closely to get the best learning experience out of your time with us. You get to be a part of a vast global network.What you ll be responsible for Supporting key account management for the agency and clientsServicing clients on a day-to-day basis to ensure all deliverables are metUnderstanding and communicating client s business objectivesBuilding and maintaining a good relationship with the clientWorking with the Account Manager to develop long and short-term marketing and advertisinginitiativesHelping the client evaluate effectiveness of marketing and advertising programmes andmonitoring competitive activities and planning appropriate response/actionWorking with the Creative team to ensure creative development is on strategy and meetsClient s expectationsWhat experiences, skills and trades we re looking for Strong passion and interest in advertisingStrong ability to present, write and sell Agency thinking and workSolid presentation and project management skillsExcellent interpersonal and relationship-building skills with clientsKnowledge of all agency functional areas in order to monitor, evaluate and impact the quality ofwork from strategy development to the finished product (this includes production, media,research, etc.)Digital Agency experience is a bonu"
JobTech,"Marketing, Branding & Creative Specialist","$800 - 1,000 ","This is an internship position for a dynamic, well-rounded individual who needs to possess skills or passion in these following areas: (1) Branding (2) Marketing (3) Communication (4) DesignScope of work: Branding Understand brand assets, brand communication, brand design Craft marketing messages in line with brand directionMaintain brand integrity  Marketing Understand marketing principles Familiarity with Digital Marketing - social media (Facebook, Instagram, etc), content marketing, email marketing, paid/organic traffic, Google Analytics, etc.  Conceptualisation and execution of marketing campaignsComfortable with using marketing analytics to assess marketing ROI and optimize campaign outcomeCommunicationExcellent writing skillsAssist with penning articles, social media snippetsCrafting copy for printed/digital collateral, including marketing headlines/taglines Assist with preparation for Press ReleasesDesign Design of printed/digital collateral which can include, but is not limited to, brochures, website graphics, slides, emailers, postersRequirements: Familiarity with software such as Photoshop, Illustrator. Attention to detail, creative flair, passionate enough to work in a startup environment.Candidates familiar with animation software (e.g. After Effects) will have an added advantage. Qualifications:We believe that qualifications do not dictate your ability. Candidates from all backgrounds are free to apply and will be assessed based on degree of suitability, skill proficiency level and aptitude."
Wunderman Singapore,Social Media Executive,"$2,700 - 3,000 ","SUMMARYThe role will entail supporting the Social Media Lead across multiple social media campaigns from planning to implementation, optimization and analysis across the entire social landscape.ROLE AND RESPONSIBILITIESo Monitor the social media channelso Assist with the planning of marketing strategies to help drive traffic and engagement to the websiteo Produce content for social media channels such as Facebook, Instagram, Twitter, Google + and Pinteresto Keep up to date with any social media trendso Track social media influencerso Ensure you produce a consistent brand message across all the social media channelso Regularly monitor competitor social media sites and create competitor analysis reportso Contribute to the company blog on a weekly basiso Assist with social media performance reportso Engage with social media users and respond to any mentions over multiple social media channelso Assist with general day to day administration tasksPREFERRED SKILLSo Prior internship experience in digital agency and blogging experience is a pluso Passion for all things digital and socialo Experience in building social media communities and general marketing experienceo Good written skills and an eye for detailo Strong team-player, communication and inter-personal skill"
