,Job Title,Job Description,Salary,Company
252,"Microsoft Windows Infrastructure Developer, Associate","  Microsoft Windows Infrastructure Developer, Associate  As a member of our Infrastructure Development team, you will dive right into creating innovative solutions that advance businesses and careers. You'll join an inspiring and curious team of technologists dedicated to develop and deploy large scale infrastructure solutions that supports JPMC' diverse and critical businesses. You will be using the latest technologies, data management and security practices in all aspect of software development. Critical thinking, clear communication and collaboration are key to success product delivery.   This role requires a wide variety of strengths and capabilities, including:    Bachelor of Engineering or equivalent degree   Software development experience in one or more general purpose programming languages: Python, Perl, Java, Power shell   Experience working with two or more from the following: web application development, database, Unix/Linux environments, distributed and parallel systems, information retrieval, networking, large scale software development, security software development   Understanding or have experience with agile and lean philosophies   Strong critical thinking and problem solving skills with clear communication   Ability to collaborate with different roles to achieve common goals   High level of proficiency in Microsoft Windows 2008 and 2012 operating systems   Experience system monitoring with products like HP SIM/ILO, VMWare Virtual Center, Tivoli, Dell iDRAC etc.   Experience using Test Driven Development techniques and automating Unit/Integration tests   Experience managing code using Version Control Systems eg: Git   Experience building automation using Ansible or similar technologies   Working knowledge of system performance monitoring and operational capacity management   Familiarity with SAN, NAS, TCP/IP, DNS is highly desirable   Experience using &amp; integrating software with security and entitlements systems such as SSO, LDAP, AD   Understanding of Client/Server Architectures, Middleware, Networks &amp; Storage systems   Excellent verbal and written communication skills   Our Global Technology Infrastructure group is a team of innovators rewarded with innovators who love technology as much as you do. Together, you'll use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions. You'll work in a stable, resilient and secure operating environment where you-and the products you deliver-will thrive.   When you work at JPMorgan Chase &amp; Co., you're not just working at a global financial institution. You're an integral part of one of the world' biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.   At JPMorgan Chase &amp; Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.    ",Competitive,J.P. Morgan
253,"Sustained Engineering (SE) Unix   Infrastructure Developer, Associate","  Sustained Engineering (SE) Unix   Infrastructure Developer, Associate  As a member of our Infrastructure Development team, you will dive right into creating innovative solutions that advance businesses and careers. You'll join an inspiring and curious team of technologists dedicated to develop and deploy large scale infrastructure solutions that supports JPMC' diverse and critical businesses. You will be using the latest technologies, data management and security practices in all aspect of software development. Critical thinking, clear communication and collaboration are key to success product delivery.   This role requires a wide variety of strengths and capabilities, including:    Bachelor of Engineering or equivalent degree   Software development experience in one or more general purpose programming languages: Python, Perl, Java, Power shell   Experience working with two or more from the following: web application development, database, Unix/Linux environments, distributed and parallel systems, information retrieval, networking, large scale software development, security software development   Understanding or have experience with agile and lean philosophies   Strong critical thinking and problem solving skills with clear communication   Ability to collaborate with different roles to achieve common goals   High level of proficiency in Linux/HP-Unix operating systems   Experience using Test Driven Development techniques and automating Unit/Integration tests   Experience managing code using Version Control Systems eg: Git   Experience building automation using Ansible or similar technologies   Working knowledge of system performance monitoring and operational capacity management   Familiarity with SAN, NAS, TCP/IP, DNS is highly desirable   Experience using &amp; integrating software with security and entitlements systems such as SSO, LDAP, AD   Understanding of Client/Server Architectures, Middleware, Networks &amp; Storage systems   Excellent verbal and written communication skills   Our Global Technology Infrastructure group is a team of innovators rewarded with innovators who love technology as much as you do. Together, you'll use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions. You'll work in a stable, resilient and secure operating environment where you-and the products you deliver-will thrive.   When you work at JPMorgan Chase &amp; Co., you're not just working at a global financial institution. You're an integral part of one of the world' biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.   At JPMorgan Chase &amp; Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.    ",Competitive,J.P. Morgan
255,Quant Developer (C++),"  A leading global financial services firm requires a Quant Developer (C++) with significant experience in the front office with acquired superior programming and analytics background. Being a Quantitative Developer within the Equity Derivatives and Analytics Division you will be tasked to design and build cross asset quant libraries, analytics library Ideally you will have successful track-record of delivering innovative multi-tier business critical solutions.   Top Tier Investment Bank  Front Office Function in a Bank  Expert in C++ programming   A leading global financial services firm requires a Quant Developer (C++) with significant experience in the front office with acquired superior programming and analytics background. Being a Quantitative Developer within the Equity Derivatives and Analytics Division you will be tasked to design and build cross asset quant libraries, analytics library Ideally you will have successful track-record of delivering innovative multi-tier business critical solutions.  Responsibilities:  Design, develop and support an in-house trading system for derivatives Designing and building user interface Integrating quantitative models into the trading system Troubleshooting for traders and quants and providing quick solutions Organising UAT with users from front, middle and back office and improve the efficiency of the analytics library   Requirements:  Degree level in quantitative disciplines such as Statistics, Mathematics, Data Science, Computer Science Strong IT background with excellent programming skills in C++, F# and Python is a strong plus Excellent skills in software design and architecture applied within the analytics library of a front office team Excellent verbal and written communication skills  If you have proven experience of architecture and development using C++ looking for an exciting career within the financial services industry, this could be it!  Chandler Macleod Group Pte Ltd, EA Licence: 11C3837 If you require any further information please contact Naveen Vasudevan at Chandler Macleod on naveen.vasudevan@chandlermacleod.com or +65 6429 3218.     ",Negotiable,Chandler Macleod
256,Senior Enterprise Cloud Engineer," Senior Enterprise Cloud Engineer     Job Purpose:  The candidate will develop, engineer and implement the Core IT technologies strategy, solutions and standards for the group. He ensures the robustness, effectiveness and efficiency of the core technologies. He also drives to optimize the functionality and capability of the existing core technologies. The scope includes Networking, Security, Server, Storage, Desktop, End User Collaboration, Data Protection, and emerging IT technologies.   Job Description:  To accomplish their core duty of designing and implementing IT technologies:    Research and review emerging technologies as it pertains to platform, storage, database and cloud infrastructure.  Analyze business requirements to identify where they can integrate new hardware, operating systems, or connectivity solutions.  Perform analysis and testing functions in the evaluation of technology solutions, and execution of test plans to ensure product meets requirements.  Recommend alternative technologies or improvements to enhance existing infrastucture to support organisational goals.  Develop engineering standards and core builds for the new technologies.   Develop and document the proposed technical design for the integration and implementation of any new infrastructure technologies across the IT department.  Create detailed plans for the integration of new systems into existing infrastructure. This includes logistical plans, physical integrations, technical direction and support.  Participates in evaluating the success of the new IT infrastructure technologies implemented, identifying best practices, lessons learned and incorporate the information into future integration plans.    Qualifications  Qualification/Requirements:    Bachelor' Degree in Computer Science/Information Technology or equivalent.  Possess minimally 2 professional certifications in MCSE, VCP, RHCE, AWS CSA.  The candidate must possess hands-on experience and good technical skills with proven track records in Core IT infrastructure and/ or emerging IT technologies engineering in the following area:   Platform, storage, database (SQL and No-SQL databases) and virtualization   Cloud infrastructure(IaaS/PaaS) including hybrid cloud and containers technologies    Working Experience/Skills:    The candidate must possess hands-on experience and good technical skills with proven track records in Core IT infrastructure and/ or emerging IT technologies engineering in the following area:   Platform, storage, database (SQL and No-SQL databases) and virtualization   Cloud infrastructure(IaaS/PaaS) including hybrid cloud and containers technologies   Preferably 7+ years of hand-on experience in managing large scale operation and implementation of platform, storage, database and/or cloud platform. Of which 2 years working experience in engineering role.  An ability to organise, prioritise and multi-task.  Versatile in learning and desire to remain up to date with changes in technology.  Strong situational analysis and decision making abilities.  Possess strong technical skills and ability to optimize and develop engineering standard in his/her domain.   Possess good technical knowledge and ability to define the integration plan with the technology beyond his/her domain.  Scripting knowledge using VBscript, PowerShell, Javascript, Perl and Phyton.  Drive to deliver results, and the willingness to challenge the status quo.  Quality mindset with prevention attitude to attain zero defects.  Creative thinking in problem solving, proactive and fast learner.  A good team player and able to work effectively at all levels of an organization with the ability to influence others to move towards consensus.  Good written and verbal communication and presentation skills, highly organized and able to interact professionally and appropriately at all levels of the organization.  *LI-TK  ",Competitive,OCBC Bank
266,Infrastructure Senior Technical Analyst NICE Voice Level 3 Specialist," Infrastructure Senior Technical Analyst NICE Voice Level 3 Specialist Infrastructure Senior Technical Analyst NICE Voice Level 3 Specialist  Primary Location: Singapore,Singapore,Singapore Education: Bachelor' Degree Job Function: Technology Schedule: Full-time Shift: Day Job Employee Status: Regular Travel Time: No Job ID: 18025298    Description   Job Position:   ASPAC NICE Voice L3 Specialist Job Summary:   EUV&amp;CC duties include Request Fulfillment, Daily BAU Support, and Incident/Problem Management Support for supported Voice products Job Description   Primary interface for internal/external Citigroup businesses and customers as well as other technical support teams to provide Voice related technical and procedural assistance Responsible for technical support on the Global Voice platforms which includes timely processing of all maintenance activities and ensuring that all related tasks are handled in a controlled and compliant manner against internal policies and procedures The functional duties of this position include troubleshooting, request fulfillment, remote support, trouble ticket escalation, monitoring and follow-up throughout the resolution cycle for all supported Voice related products globally Ability to organize, prioritize and schedule work assignments to help ensure high levels of Customer Service and Satisfaction in a challenging Shared Services environment Responsible for continual process improvements and adaptation to new business processes and procedures Accountable for daily, weekly, and monthly MIS reporting related to system maintenance activities Assist in audit and compliance efforts for department, including risk review, self assessment, COB/business monitoring and documentation of policies and procedures, participation in occasional auditing projects or provides information and access to accounting records as required Participate in monitoring and support of end user products by intercepting alerts and ensuring proactive communication with end users Providing operational support to the Infrastructure related to the Voice products within the guidelines as specified by the Info Sec procedures &amp; Standard Build configurations    Qualifications    Strong. technical knowledge of the voice Recording systems like NICE, Verint, Cybertech, etc. Call Center knowledge - ACD, Avaya PBX, ASAI, GeoTel, SBC, Network IVR, and Voice and Data Network Bachelors/Masters (or equivalent experience) in electrical engineering, computer science, mathematics, physics, or other technology field focusing on speech technology Expert knowledge of state-of-the-art research in speaker verification and identification Solid understanding of signal processing, pattern recognition, and statistics Creative thinker and goal-oriented, practical problem solver Experience using SQL Server, Reporting Services Data mining, Business Intelligence (BI) Knowledge of multi-factor biometric solutions Required to be organized, possessing project management skills, and strong follow-up skills Able to set goals and complete deliverables with minimal direction and/or support, as well as the ability to identify and escalate broader issues Must be able to work in cross functional team environments, possess good interpersonal skills, while being able to work independently Self-starter, with the ability to ""think outside the box"", applying knowledge and experience to ambiguous situations which may require flexibility in decision making to resolve an issue Strong and effective communication (written and oral) with all levels of the organization Consistent implementation of security solutions at the business unit level Knowledge of network and web related protocols (e.g., TCP/IP, UDP, IPSEC, HTTP, HTTPS, routing protocols) *LI-SG     ",Competitive,Citibank NA
270,Stratus - Virtual Operating System (VOS) System Engineer,"  Stratus - Virtual Operating System (VOS) System Engineer  Sustained Engineering (SE) focus on the end-to-end engineering and operations of our critical systems and products as well as production management activities, including incident, problem, change and crisis management processes, and asset lifecycle management. Sustained Engineering provides global coordinated diagnostic and support services, while its production assurance and support functions leverage and execute industry leading infrastructure management and support processes that are designed to minimize customer outages and impacts.   As part of JPMorgan Chase &amp; Co.' global technology community, you will have the opportunity to collaborate with peers and subject matter experts (SME) in regional technology hubs during an exciting time of transformation, contributing to the strategic success of the firm.   As a senior member of an Agile Infrastructure Development team, you will be responsible for the end-to-end Development Lifecycle of innovative software-defined Infrastructure services. You will be involved in solving complex technical issues via concept design, software development and testing, integration, and operation of automated infrastructure-centric products and services. You will help ensure that best practices and architectural design standards, are adhered to as well as enforcing data, risk and security management policies.   The ideal applicant will be an experienced full-stack Python developer who also has knowledge of infrastructure, Operating systems and database systems, DevOps practices, and automation tools plus experience working in an Agile development team. Applicants will also be considered with lesser degree of Python experience who possess experience and skills in at least one other Object Oriented Programming language such as Java, C++ or .Net with experience building software solutions for large scale businesses.   Qualifications      Core Technical Skills required:    In-depth knowledge and practical experience of Python Development, including web frameworks such as Angular JS   Experience developing applications for the public and private cloud   Experience using Test Driven Development techniques and automating Unit/Integration tests   Experience using Continuous Integration/Delivery frameworks   Experience managing code using Version Control Systems eg: Git   Working knowledge of Atlassian toolsets for software development (Jira, BitBucket &amp; Confluence)   Experience building automation using Ansible or similar technologies   Working knowledge of Agile software development practices   High level of proficiency in Stratus Virtual Operating System (VOS)   Experience with Stratus sub-systems including TCP/IP, Security, registration, admin, sightline performance monitoring, VOS_auditor security software   Experience with production support of highly available applications   Working knowledge of system performance monitoring and operational capacity management   Familiarity with SAN, NAS, TCP/IP, DNS is highly desirable   Experience in project work, incident management and resolution, and change management   Experience using &amp; integrating software with security and entitlements systems such as SSO, LDAP, AD   Understanding of Client/Server Architectures, Middleware, Networks &amp; Storage systems   Experience working across large infrastructure environments and distributed across multiple data center   Strong verbal and written communication skills   Additional advantageous skills:    Experience developing in one or more of the following enterprise software in an Object Oriented language: (Java, .Net, C++ etc.)   Experience with UI development using HTML, CSS, Javascript, JQuery, Typescript   Experience with coaching &amp; mentoring team members in SDLC and Software engineering best practices   Prior financial services industry experience   Our Global Technology Infrastructure group is a team of innovators rewarded with innovators who love technology as much as you do. Together, you'll use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions. You'll work in a stable, resilient and secure operating environment where you-and the products you deliver-will thrive.   When you work at JPMorgan Chase &amp; Co., you're not just working at a global financial institution. You're an integral part of one of the world' biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.   At JPMorgan Chase &amp; Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.    ",Competitive,J.P. Morgan
273,Developer,"  Developer  Position Description  Background: Reference Data team provides solutions for client on boarding within Global Markets domain. We are looking for strong developers who would like to pursue a career in technical tracks within investment banking.   Key Responsibilities    80% of time would be concentrated in programming    Responsible for developing, enhancing, modifying and/or maintaining applications within Global Markets environment    Software developers design, code, test, debug and document programs as well as support activities for the corporate systems architecture    Working closely with business partners in defining requirements for system applications   Key Requirements    We are looking for very strong developers with extensive experience building middle-tier services, who are self-starters and eager learners    Do hands-on programming in any language such as Python, Java, Scala or JavaScript.    Good understanding of common algorithms and data structures    Strong problem-solving and analytics skills   Desirable Skills    Development experience using functional programming libraries such as Scalaz, Cats, Lodash/FP or Ramda.js is a big plus.    Knowledge of KYC and CDD systems is a plus    Experience with web technology frameworks like Angular or ReactJS    Good communication and presentation skills    Experience in Linux operating systems in server environments    Experience working with GIT or other version control systems  If you feel you have the right skills and experience for the role, kindly submit your updated CV in word format to jchuah@morganmckinley.com.sg .  Referrals are greatly appreciated.  Morgan McKinley Pte Ltd  EA Licence No: 11C5502  EA Registration Number: R11874545  Registration Name: Jessica Chuah     ",Competitive,Morgan McKinley Singapore
277,"Business Analyst, Financial Crime Compliance","  Leading the way in International Banking. Standard Chartered is one of the world' most dynamic and exciting international banks. Once you have joined the team, we offer many opportunities to expand and grow your career.  The successful applicant will have the following professional profile and job experience:   Strong business analysis skills and practical experience applied to the Financial Crime and Compliance domain Above average ability to translate business requirements into functional requirements Detailed Knowledge of transaction monitoring red flags, standard AML typologies and rule / pattern/ scenario threshold maintenance  In depth knowledge of Oracle scenario manager toolkit functionality  Proven ability to develop customised transaction monitoring scenarios based on functional requirements - the successful candidate should have successfully developed scenarios using the Oracle Mantas scenario toolkit to high standards and performance  In depth knowledge of Oracle Mantas OFSAA behaviour detection framework Proven ability to customise, configure and develop new behaviour detection code  Change management / practical implementation considerations pertaining to transaction monitoring systems Data analysis skills with specific reference to the requirements of transaction monitoring systems Good understanding of KYC, AML Transaction monitoring, Screening functions with specific focus on transaction monitoring systems Detailed knowledge of Oracle Mantas FS data model and detection scenarios with specific in depth knowledge of Oracle OFSAA CSA Practical, field level implementation of Oracle Mantas in a large, multi-country, full service bank Advanced sql skills with detailed knowledge of tools such as SQL developer, db visualiser, TOAD and Squirrel Working knowledge of Oracle Enterprise Case Manager Working knowledge of Oracle applications such as ODI / EDQ / DIH Prior experience in enterprise class AML systems such as Actimize and Detica will be a ""nice to have"" Ability to engage senior business and FCC stakeholders   If you're a bright mind with big ambitions, we'll actively encourage you to fulfil your potential. Thanks to our rich and varied international footprint, we can offer exciting opportunities working across different countries and cultures. Apply Now and take the next step in fulfilling your potential.      ",Negotiable,Standard Chartered Bank Singapore
292,Senior Test Manager (Private Banking/Wealth Management)," Senior Test Manager (Private Banking/Wealth Management)  Location:                                    Singapore                              Salary: Negotiable Job Type: Full time  Role is for a Test Manager for one or multiple projects in the Private Banking domain with minimum of 10 to 12 years of experience and strong knowledge of financial products. about the companyClient is into the financial industry offering a wide range of services.  about the job Role is for a Test Manager for one or multiple projects in the Private Banking domain with minimum of 10 years of experience and strong knowledge of financial products.   Minimum 10 to 12 years of experience in Banking and Testing Minimum 6 years of experience in designing test strategy, test planning &amp; managing test deliveries Sound understanding of defect management process (HP ALM, JIRA)  skills and experience required  Experience in team leading/ management.  Working experience in Private Banking domain and Channels applications in particular (includes Front office applications, Client Reporting and online banking application for the Private Banking customers) Strong knowledge of financial products and product lifecycle (eg: Securities, Cash etc.) Experience in designing test strategy in line with the scope and organization standards Experience in test planning, test case writing and execution, status reporting Able to grasp Business and Technical requirements and translate into the test coverage Able to drive the test environment and data needs required for testing Knowledge of test automation and test management tools (Selenium, TOSCA, Cucumber, JIRA) Basic understanding of SQL writing and execution Experience in working with Partner / Vendor teams and across geographies Experience in managing budget, resources and testing delivery Partner with business, architecture and development team to ensure that test coverage is good enough to cover all functional and non-functional requirements Experience in any core banking systems like T24 or Avaloq would be an advantage  To apply online please use the 'apply' function, alternatively you may contact Sathis at 65103646.(EA: 94C3609/ R1112410)     Apply Now ",Negotiable,Randstad Singapore Pte Ltd
296,Network Services Level 3," Network Services Level 3 Network Services Level 3  Primary Location: Singapore,Singapore,Singapore Education: Bachelor' Degree Job Function: Technology Schedule: Full-time Shift: Day Job Employee Status: Regular Travel Time: No Job ID: 18037357    Description    Provide Tier III/Expert level Technical Support for the firm' global network infrastructure:  75% 'Break/Fix' support of standard enterprise Cisco Internetworking Technology solutions 25% 'Break/Fix' support for Internet working technology infrastructure solutions such as:   Load Balancers (F5 and Citrix) Juniper Routers WAN Accelerators/Optimizers (Riverbed) DNS Appliances, QIP/DHCP services  Wi-Fi/Wireless communications support Other small pockets of both new and legacy internetworking technologies   Serve as the technical escalation point for Tier II support..Work collaboratively with Tier II and mentor junior technicians in order to improve their technical skill set over the long term Provide expert level technical support on conference calls with cross functional partners throughout the technology organization..Conduct in depth technical investigations of ongoing incidents involving degraded network performance Collaborate directly with Global Network Integration and Architecture &amp; Technology Engineering teams.on large-scale projects..This includes design reviews for technical soundness and operational supportability of proposed deployments Maintain written operational procedures for the network service..This includes document reviews at predefined intervals, ad-hoc procedure updates in response to operational events, and consistently high quality document management so that they are ready for audit and compliance scrutiny at any time Perform pre-defined configuration assurance and standard build checks to satisfy risk, control and ""Safety &amp; Soundness"" initiatives as part of proactive configuration management of all network managed infrastructure..This includes validating proper configuration on all redundant device pairs, validating all infrastructure is configured in accordance with documented engineering standards, and formulating remediation plans when exceptions are identified Escalate inter-networking design and architectural issues to Architecture Network Engineering teams for further analysis. Work collaboratively with engineering counterparts to achieve a design solution to the issues identified during the course of working through operational incidents... Evaluate issues for 'global exposure' relative to the install base of the hardware and software solution in question..Ensure the remediation plan accounts for remediation of the full exposure    Qualifications   Qualifications/Requisite Knowledge Base:   5+ years of experience in providing network operations support... Experience supporting a network with 1000+ nodes is preferred..NOC (Network Operations Center) experience is highly preferred Expert level working knowledge of enterprise TCP/IP communications (IPv4, QoS, IPSEC, etc) Expert level working knowledge of enterprise standard Ethernet media types:.Fastethernet, Gigabit and TenGigabit Expert working knowledge of Cisco routers and switches, WANs, (T1, T3, MPLS) Expert working knowledge of three of the following routing protocols:  EIGRP, BGP, OSPF, RIP  Strong working knowledge in the following:  Python (Openpyxl, Twisted Matrix)  JavaScript HTML, CSS, vbscript SQL (J-query, Chart-OS)  Working knowledge of scripting languages and other web development tools a plus Strong working knowledge of network protocol analysis using industry standard toolsets such as Ethereal Wireshark, etc. Familiarity with Netflow data exports and data collection/analysis Strong working knowledge of IPSLA probes, application specific network performance analysis, packet analysis, Embedded Event Managemer and TCP/IP optimization mechanisms for maximizing application performance across enterprise networks Strong working knowledge of common security threats facing enterprise networks including DDOS (Distributed Denial of Service) and various defensive mechanisms and threat mitigation strategies Any of following Industry Certifications are highly preferred*:   Cisco Certified Network Professional (CCNP) Juniper.Networks Certified Internet Specialist/Professional (JNCIS, JNCIP) Information Technology Infrastructure Library - Version 3 Foundations (ITIL Version 3) A commensurate knowledge base in absence of certification is acceptable  *LI-SG     ",Competitive,Citibank NA
303,Finance - Structured Trade Control and Valuation - Associate,"  Finance - Structured Trade Control and Valuation - Associate    FinanceIt is crucial for the bank to understand how profitable each businesses activity is and Finance has a responsibility to understand precisely the resource commitment the bank makes to any given client or transaction e.g. cost, capital, funding, liquidity and risk. Finance is playing a central role in keeping the bank focused on simplification and financial resource management.With our diverse teams in 47 countries, we offer a broad portfolio of capabilities. Our key functions range from Group Finance, Treasury, Planning and Performance Management, and Investor Relations to enabling functions such as Finance Change and Administration. These teams make sure we cover all Finance specific aspects for our internal and external stakeholders such as shareholder, employees, clients and regulators. Together, it is the role of Finance to oversee all financial details for Deutsche Bank globally.Sound financial principles are at the core of everything we do. That' why Finance is vital to the way we run our business. In a global marketplace that' constantly evolving, being adaptable, decisive and accurate is critical.Join us and you'll be able to make a real difference in a dynamic global team with multiple career opportunities. Position Overview Deutsche Bank' Global Markets (GM) Business is responsible for the origination, sale, structuring and trading of fixed income, equity, foreign exchange, derivatives and money market products. GM has established itself as a global leader in these products by combining its unique distribution franchise with its pricing, structuring and execution expertise.  We are looking for an individual to join our high performing team in GM Finance responsible for ensuring accurate trade capture of complex trades and appropriate model usage. The team also provides timely, accurate, independent valuation and risk information to trading desks.  Key responsibilities:   Daily reporting of valuation and risk to the business, including timely issue identification and resolution. This would involve trade modeling, liaising with Front Office to confirm prices and understanding the trades   Ownership of Market Data processes for official risk and valuation   Producing and analyzing full P&amp;L attribution, and resolving any unexplained P&amp;L   Continuous improvement to improve speed and accuracy of risk sensitivities, to reduce the level of manual intervention required in the work flow and to streamline the workflow   Set up and testing of valuation and risk for new products and verification of new deal P&amp;L   Review, analyse and verify the booking of complex trade structures within DB systems, including close liaison with Operations to ensure timely and correct trade verification and maintenance   Work with stakeholders to standardize booking practices and reducing operational risk surrounding exotic bookings   Daily oversight of Risk &amp; P-L Model Risk Control responsibilities including monitoring of ageing exceptions for all asset classes in APAC   Familiarity with bank policies around model risk control, exotic trade review, valuation services and risk and P-L control   Understand and analyze the root cause of exceptions, take ownership of exceptions and actively drive remediation   Respond to internal client queries on valuation and risk, through a strong understanding of pricing concepts, model limitations and analytical pricing libraries   Work closely with stakeholders and partners in Front Office, Market Risk Management, Global Valuation Group and Operations to fulfill our responsibilities.  Key skills and experience:   Degree   2.1 or above in engineering, physics or mathematics   Masters of Science in a quantitative field is preferred   IT skills   VBA, C++, Python etc. is an advantage   Strong derivatives knowledge and experience, including pricing and risk   Understanding of trade capture processes and downstream reporting requirements, including P&amp;L, accounting, market risk reporting and regulatory requirements.   Candidates have to be analytical and thorough, whilst being able to communicate complex information to a wide variety of stakeholders   Strong inter-personal skills as constant interaction with stakeholders and partners is expected   A strong team player   Possess intellectual curiosity in valuation problems (all aspects of quantitative finance and methodologies)   Have the skills to drive continuous improvement of processes and workflow   Prior experience in a similar role is preferable   For internal candidates, a detailed understanding of DB Analytics and GRIMIS toolkit packages would be an advantage, as would be a good working knowledge of Summit and FO3DG. Deutsche Bank offers a challenging and rewarding career where your contribution is valued and rewarded. We have an inclusive and friendly working environment coupled with excellent facilities and benefits.Deutsche Bank is an equal opportunity employer who seeks to recruit and appoint the best available person for a job regardless of marital status, sex (including pregnancy), age, religion, belief, race, nationality and ethnic or national origin, colour, sexual orientation or disability.     ",Competitive,Deutsche Bank APAC
318,Analyst - Report Production,"  BlackRock helps investors build better financial futures. As a fiduciary to our clients, we provide the investment and technology solutions they need when planning for their most important goals. As of March 31, 2018, the firm managed approximately $6.317 trillion in assets on behalf of  BlackRock helps investors build better financial futures. As a fiduciary to our clients, we provide the investment and technology solutions they need when planning for their most important goals. As of March 31, 2018, the firm managed approximately $6.317 trillion in assets on behalf of investors worldwide. For additional information on BlackRock, please visit www.blackrock.com | Twitter: @blackrock | Blog: www.blackrockblog.com | LinkedIn: www.linkedin.com/company/blackrock.   Job Description:   Team Overview: BlackRock Data Services (BDS) is entrusted with maintaining all data integral to the investment decision process, for BlackRock the Investment Manager and its BlackRock Solutions (BRS) business, in our proprietary Aladdin  end-to-end investment platform. BDS closely partners with its stakeholders, such as Portfolio Management, Global Capital Markets, Relationship Management, Portfolio Compliance, Risk Analytics, Regulatory Reporting, and others, to ensure their business data needs are met accurately, timely, and efficiently. The BDS philosophy is anchored on BlackRock's cornerstone principles: Innovation, Fiduciary focus, Passion for Performance, and the unified purpose of One BlackRock. Through that lens, we strive to build value for our clients by understanding their needs, the markets, and using technology to create best in class solutions. As global team, BDS has presence across 12 offices in 8 countries, servicing more than $17 trillion in AUM on Aladdin for BlackRock and BRS clients spanning 6 continents and all spectrums of the financial markets. Responsibilities:  Provide high quality client service externally and internally. Address inquiries, perform controls, resolve problems, and mitigate risks for clients and internal BlackRock stakeholders. Learn the intricacies and interconnectivities of Aladdin  end to end investment platform. Gain broad experience in Equities, Fixed Income, Derivatives, and Alternatives, across the vast global investment marketplace. Investigate and resolve complex and intricate issues and perform adhoc analysis of large data sets while meeting tight deadlines. Initiate and drive platform and process innovations to support new business needs, minimize risk, enhance quality, and navigate the changing markets.  Experience &amp; Qualifications: (2 - 5 years)  Bachelor's Degree is required, with preference to business disciplines such as Finance, Accounting, or Economics, and technical disciplines such as Computer Science, Information Systems, or Engineering. A  Student of the Markets  mentality: Intellectually curious with a passion for learning about the global financial markets and the investment management business. Natural team player able to work in an innovative, entrepreneurial, and fast paced environment. Excellent verbal and written communication skills combined with agile critical thinking and a problem solving mindset. Basic knowledge of SQL, UNIX, or Python is a plus; desire to expand technical expertise preferred. Basic knowledge of fixed income, equity and derivative instruments is a plus.      BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.    BlackRock will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the law, including any applicable fair chance law.    ",Not Specified,BlackRock
