,job_title,company,salary,job_description
174,Market Data Business Analyst  /  Project Manager,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,"$9,000to$12,000Monthly","Roles & Responsibilities Engage customers and operational staff in documenting detailed requrements as we progress through our strategic customer journey. Working with Trade Services management team, implement a PMO framework; build programme-based business plans, project budgets and resource break-down streams that allow investment decisions. Monitor progress and delivery across the portfolio of approved projects and business plans. Manage communication plans across the division and our customers. Provide structured reports to management on programme execution performance, resource management and cost management across the portfolio. Where a vendor-lead solution is appropriate, work with the market data team, engaging with our vendors and sourcing colleagues, to prepare RFIs, RFPs.  Requirements Demonstrated experience in project management and formal project management, preferably with PMP / PRINCE2 qualifications 10+ years experience working in banking environments or other highly regulated environments. 10+ years working in the market data industry, with market data product awareness and exposure to market data contracts and technologies. 10+ years working with market data delivery technologies and associated commercials. Demonstrable experience in executing RFI and RFPs as a market data subject matter expert. Experience in managing resource groups in matrix organisations and in leading teams of less than 5 people. Experience in working with the SDLC and development teams. Comfortable in communicating with SVP, ED and MD leaders.  Preferred Experience  Experience in working with financial sales and trading staff; financial business management is a plus Book keeping or financial accounting knowledge is a plus. Public cloud experience is a plus. "
175,AI DATA VISUALIZATION ENGINEER,AMARIS.AI PTE. LTD.,"$4,000to$8,000Monthly","Roles & ResponsibilitiesWe are looking for
a clear, confident and persuasive communicator, with excellent presentation skills and with the ability to structure a coherent, logical argument and the confidence to defend assumptions, projections and recommendations.  The Data Visualization Engineer
should have
an analytical and creative approach to problem solving and have business strategy skills to build the solutions necessary to ask the right questions and find the right answers.  If you have a passion for data analytics, and wants to make an impact by designing and building visually intuitive, information-rich data products, this is your opportunity. In this position, you will be a torchbearer for data visualisation and UI design, and the incredible results it brings in organizations. Requirements  Shape our data visualisation and UI design consulting business by leading business development efforts and consulting projects   Gathering and documenting client requirements and translating these into process and UI architecture designs   Providing thought leadership and actively participating in the application design, implementation, and roll-out of Amaris.AI solutions   Act as a trusted advisor for data visualisation solutions and services for our clients and prospects   Design and develop eye-catching data visualisation demos and storylines, adding to and expanding Amaris.AI services
   Spearhead the evangelisation of and demonstrate the power of data visualisation and UI design inside Amaris.AI, i.e. by teaching, leading community activities and by building reusable assets  "
176,Data / Business Analyst (1 year contract),TANGSPAC CONSULTING PTE LTD,"$2,500to$3,700Monthly","Roles & ResponsibilitiesThis is a one year contract with a leading local bank.
 Responsibilities
  Produce accurate and timely reports to regulators and senior management relating to counterparty groups and related party transactions Conduct post event checking of exposures against internal and regulatory thresholds and work with relevant parties to resolve/mitigate any areas of concern Be part of team to assess and implement changes arising from internal/regulatory demands where required Support Business Unit in exposures reports, earmarking and underwriting requests Perform other adhoc tasks or participate in automation projects where applicable
  RequirementsRequirements

  Degree in Data Science/ IT/ Big Data/ Data Analytics 2-3 years Financial industry working experience preferred Highly organized and flexible in prioritizing competing work demands Proficient in MS Access & SAS. Qlikview experience would be an advantage Meticulous with strong aptitude for numbers and comfortable handling large volumes of data Able to produce quality results under tight timelines Team player with good attitude and excellent interpersonal skills "
177,"Manager, Big Data IM, Advisory",ERNST & YOUNG ADVISORY PTE. LTD.,"$6,000to$12,000Monthly","Roles & ResponsibilitiesEY Data and Analytics is the data and advanced analytics capability within EY Asia-Pacific.
 We have vibrant practices in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia. EY Data and Analytics creates intelligent client organizations using data & advanced analytics.
 We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientist, big data engineers, developers and consultants in the region.

 
 Due to our continued growth we are looking for a talented, inquisitive and proactive Big Data IM join our team. RequirementsREQUIREMENTS:   Bachelor degree and above in Analytics, Information Systems Management, Computer Science or related fields. Hands on experience in implementing data integration processes, designing and developing data models(ER/Dimensional/Vault), designing, developing and building in detail ETL/ELT processes or programs. Contributed in at least 2 phases of SDLC lifecycle and experience in Big Data, data warehouse, data analytics projects, data migration, change management process, and/or any IM (Information Management) related works. Experience with Hadoop Technologies such as HDFS/MapRFS, Map Reduce(II), Advanced HDFS ACLS, Hive, HBase, Cassandra, Impala, Spark, Drill, Sentry, Sqoop, Flume, Kafka, Storm, Zookeeper and zkClient tool Good understanding on Cloudera or Horton Works or MapR Hadoop Distribution with deep understanding of administration concepts Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata Hands-on experience on Spark, SparkSQL, Hive QL, Drill QL, Impala, Spark Data Frames and Flink CEP, Flink TableAPI&SQL as ETL framework Hands-on programming skill on Scala/Python using Spark/Flink Framework Strong knowledge of
Big Data stream ingestion and IoT streaming using Flume, or Kafka, Storm, MQTT, RabbitMQ Good understanding Spark Memory management with and without Yarn memory management Should have basic understanding on Cloudera Manager or HortonWorks Ambari and MapR Control System Should have experience developing and designing in one or more NoSQL database components and objects using Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch Should have experience developing and designing in one or more NoSQL database technologies such as Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch etc. Should good working knowledge of HCatalog and Hive Metadata. Should have working knowledge of Kerberos authentication tool Experience in commercial ETL tools like Talend, Informatica or Alteryx will be added advantage Greenplum, IBM Pure Data etc. will be an added advantage Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata, Greenplum, IBM Pure Data etc. will be an added advantage Good knowledge of data warehouse and data management implementation methodology. Good knowledge of the Information Management framework, including operating model, data governance, data management, data security, data quality and data architecture. Knowledge and experience in
 data visualisation concepts using tools such as SAS Visual Analytics or WRS, Tableau, Microsoft PowerBI or Reporting Services, IBM Cognos, SAP Business Objects, etc. will be an advantage. Ability to pick up new tools and able to be independent with minimal guidance from the project leads/managers. Strong analytical and creative problem solving capabilities. Ability to establish personal credibility quickly and demonstrate expertise. Ability to create a positive learning culture, coach and develop team members.  
 ADDITIONAL REQUIREMENTS:   6
to 15 years of experience in data warehouse, data analytics projects, change management process, and/or any IM (Information Management) related works. Delivered at least two (2) full SDLC lifecycle projects. At least one of the industry or domain experiences in Banking/ Telecommunications/ Consulting Preferably with experience in implementation best practices involving data management, data reconciliation, data duping, scheduling, etc. Able to assess design considerations in the aspect of data management and integration Experience with Agile/SCRUM/Kanban software implementation methodology Should have good knowledge in DevOps engineering using Continuous Integration/Delivery tools such as Docker, Jenkins, Puppet, Chef, GitHub Atlassian Jira etc. Certification in any of Hadoop Big Data tool/technology, data integration, data management, or visualisation tools is an added advantage. Knowledge about the infrastructure paradigms such as OS, network etc. is an added advantage.  
 ABOUT US The EY Data and Analytics team are specialists in information management, advanced analytics and business intelligence. We implement the information-driven strategies and systems that offer the highest return on investment, profitability, and service or policy outcomes for our clients. Our consultants work to create a lasting organisational culture that encourages people to use information and technology more creatively and more intelligently to get better business results.
 

 WHY US We work with some of the worlds most influential businesses on many of their most exciting Bigdata and IoT projects. Our sheer scale, scope and reach will provide you with the experiences, challenges and contacts that can inspire you for life Our culture means you can succeed whatever your background, work to your natural strengths, and learn from a remarkably diverse and talented group of people in a dynamic and collaborative global business environment 
 
 
 WHAT WORKING AT EY OFFERS EY offers a competitive remuneration package commensurate with your work experience where youll be rewarded for your individual and team performance. We are committed to being an inclusive employer and are happy to consider flexible working arrangements, where this may be needed, guided by our FWA Policy. Plus, we offer: Support, coaching and feedback from some of the most engaging colleagues around Opportunities to develop new skills and progress your career The freedom and flexibility to handle your role in a way thats right for you 
 
 ABOUT EY  As a global leader in assurance, tax, transaction and advisory services, were using the finance products, expertise and systems weve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, well make our ambition to be the best employer by 2020 a reality. 
 If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.  Join us in building a better working world.  Apply now"
178,Storage Engineer  /  Data Storage ~ Up $5000,CAPITA PTE. LTD.,"$3,000to$6,000Monthly","Roles & ResponsibilitiesResponsibilities  Configure and administer Redundant Array of Independent Disks (RAID) storage and associated components Configure and administer Storage Area Network (SAN) and associated components; including Fibre Channel switch administration Configure and administer data restore and disaster recovery Configure and administer data backup clients and servers Maintain storage aspects of new server integrations, storage allocation, and Change Management Setup procedures to consolidate storage of data from different platforms (i.e. Windows, UNIX and LINUX) Troubleshoot and fix storage issues Perform routine equipment check and preventative maintenance Storage analysis, capacity planning and performance planning of storage components Document the policies and procedures to support the operational storage environment and participate in the design and ongoing refinement of procedures and policies Prepare reports on storage administration best practices, new technologies, etc. and recommend enhancements and configuration changes to improve and optimize storage 
  RequirementsRequirement:  Minimum 3 years of relevant experience
 Diploma / Degree in Information Technology or equivalent
 CommVault Backup Solution (version 10 and 11) Hitachi NAS and SAN (HUS and VSP) min 1yr experience with G series Hitachi HCP EMC VNX series and Isilon Cisco MDS 	
  Interested candidates, please
click the pply Now"" below Only shortlisted applicants will be notified by our consultants. CAPITA PTE LTD | EA License No : 08C2893 Tan Chin Yin | REG No : R1762272 
"
179,Data Scientist,Company Undisclosed,"$6,000to$10,000Monthly","Roles & ResponsibilitiesJoin the excitement of Artificial Intelligence in the Cloud! We are a fast-paced data science team in the Cloud Artificial Intelligence Platform Group, building deep learning powered intelligent tools and end-to-end solutions for scenarios in diverse enterprise and consumer verticals. We are looking for data scientists who are passionate about data and want to apply machine learning techniques to solve real-world problems for enterprises and consumers. You will help develop capabilities for deep learning models and tools and solutions around it. You would also work on predictive and prescriptive modeling, text and image mining & processing, recommendations, clustering, forecasting methods, and other advanced statistical techniques. You will work with data from diverse structured and unstructured data sources in both batch and streaming modes, and various formats including tabular, image/video, audio, text and time series.
 In this role, you will interact with a team of experts in deep learning, machine learning, distributed systems, program management and partner product teams, and work on all aspects of the design, development and delivery of deep learning enabled solutions, including problem definition, data acquisition, exploration, training, testing and evaluating deep learning models, and creating end-to-end pipelines and solutions in production.

 
 RequirementsRequired:
  2+ years of experience (including PhD research) in machine learning or deep learning Preferred:  PhD /MS/BS degree in Electrical Engineering, Computer Science or an equivalent technical field  Experience in any of the deep learning frameworks (Keras, TensorFlow, CNTK, Theano, Caffe, Torch, H2O)  System-level knowledge of deep learning (such as GPU or FPGA implementations) a plus  Strong software development skills in one or more high level languages (C/C++/Java/C#) and one or more scripting languages (Python/R/javascript)  Publications in related fields (deep learning, machine intelligence, data mining, etc.) preferred  Experience building production grade machine learning enabled solutions end to end.  Strong intellectual curiosity and passion to solve real-world problems for enterprises and consumers"
180,Supply Chain Analyst,33 TALENT SINGAPORE PRIVATE LIMITED,"$4,000to$5,000Monthly","Roles & ResponsibilitiesReporting to the Director in the company's Global Analytics Hub, the Data Analyst is to provide accurate, timely, relevant and quality analysis for supporting the Supply chain arm of the business. You will offer effective reporting, insights and analysis for multiple stakeholders, internal clients, locations and priorities. You will be working hands-on and deliver flexible solutions ensuring stakeholder satisfaction Responsibilities: Data Analytics & Visualization Liaise both internally within the team as well as externally with business stakeholders for completion of data analysis and visualization of Insights. Support the development and testing of hypotheses across all supply chain related data sets supplied by the business Applying Advanced analytics techniques to support data driven decision support for the supply chain
 organization Support the proof of concept, and development of tools and applications. Work with the manager to define key questions and projects that will transform the business This position will be based in Singapore RequirementsAt least 1-3 years' experience working for an enterprise multi-national utilizing multi-datasets and sources running predictive, prescriptive and descriptive analytics. Bachelors degree in Engineering, IT, Math, Economics, Statistics, Sciences or technical discipline; Expert knowledge of R/Python programming and
 visualization tools such as
 Qlik Sense is a must;
 SAS EM / SAS EG experience is desirable; Ability to understand and extract data from large and complex data sets (structured & unstructured) Basic knowledge of data quality measurements, methodology and reporting tools Basic knowledge of data management Basic knowledge of statistical methods and market leading data analysis tools and platforms Strong results driven personality, with a high level of enthusiasm, energy and confidence Excellent analytical, communication, organizational and presentation skills Ability to demonstrate flexibility and integrity: be able and willing to work hands on, independently or with a small team"
181,Data Center System Engineer,SCIENTE INTERNATIONAL PTE. LTD.,"$2,500to$3,600Monthly","Roles & ResponsibilitiesAn exciting opportunity to gain new IT operations experience as a
Data
Centre Engineer for one of the top 10 global e-commerce company in Singapore!  Good chance to get exposed to other aspects within a
data
centre operations i.e. cabling management, power management and the latest IT infrastructure technologies in the e-commerce space! RequirementsMandatory Skill-set  At least Diploma in Computer Science or IT; 
At least 1
year
of experience in
Data
Centre / IT Operations
and Support
; Good knowledge and experience in IP Network, switches, basic network components and networking protocols i.e. TCP/IP; Good working knowledge
in various Operating Systems (OS) i.e. Linux
and Windows;
 Conversant in basic troubleshooting in issues in Windows / Linux systems and networking; Proactive, responsible,
good work attitude and a team player; Good interpersonal communication
and documentation skills.  Desired Skill-set  CCNA; Prior experience in Server Room / DR Command Centre /
Data
Centre operations is preferred.  Responsibilities  Responsible for day to day operations and administration
within a
data
centre environment; Attend to day to day operational tasks
and assists engineers on issues and investigation for root cause; Involved in equipment
relocation, replacement and removal; Perform system maintenance and do regular reporting; Required to do
administrative and documentation work; Assist in troubleshooting in Linux/Windows system; Identify areas of improvement and ensure corrective or preventive actions are put in place; Any other tasks assigned from time to time.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest.
 Confidentiality is assured, and only shortlisted candidates will be notified.
 EA License: 07C5639"
182,Data Engineer,ZALORA SOUTH EAST ASIA PTE. LTD.,"$4,500to$6,000Monthly","Roles & ResponsibilitiesWe are looking for a
Big Data Engineer
happy to design, build, maintain and automate big data environments (datalake, etc) and the associated data to enable the teams to make use of the high volume of data available from our e-commerce activities. You should be proficient in: - Technical background:  Linux Big Data technologies (Redshift, BigQuery, Spark, Glue, Parquet) Industrialization (Ansible..), Orchestration (Kubernetes), containers in cloud (Docker, AWS) Strong experience in resilient architecture (high availability, scalability) Data management: you have experience in integrating and managing large volumes of Data while taking into account performance issues Coding skills: skills in one or more scripting languages (Perl, Ruby) as well as one or more development languages (Python, Java)  Soft skills: while being a tech automation enthusiast with a passion for building tools to make developers' lives easier, you also want and know how to share your expertise with other people to empower them. Agile and DevOps approach, with an operational experience as an Ops in a demanding environment. You know what its like to manage in production critical systems and you have experience in sharing this knowledge to the teams to enable a you build it / you run it mindset. Requirements BS in Computer Science or related technical discipline or equivalent practical experience 3-4+ years of experience with high-traffic, high volume, high scalable distributed systems and client-server architectures (clustering, partitioning, sharding, etc) Some experience working with Data Scientists and finding solutions for them to work efficiently while manipulating high volume of data and be able to work with them and the teams to bring their algorithms at scale Strong operational experience with AWS, container approaches. "
183,BE Data and Systems Engineer,Company Undisclosed,"$4,000to$8,000Monthly","Roles & ResponsibilitiesJOB DESCRIPTION: 
 As a Manufacturing Central Team (MCT) Data and Systems Engineer, you will be responsible for developing and maintaining yield systems, reporting and/or data mining tools. You will be collaborating with Data Scientists, Engineers, Technicians and Data Mining team members to design and implement systems to extract yield and manufacturing data from 
business systems, transforming it into a format that enables ease of data analysis, understanding yield performance and creating a dynamic presentation layers for use by engineers and managers throughout Backend Manufacturing for continuous improvement initiatives. You will be creating new solutions, as well as, supporting, configuring, and enhancing existing solutions.
 The success of this position translates to an ease in data mining to allow more time for data analysis. 
 
 KEY RESPONSIBILITIES AND TASK 
 Understand the Business Problem and the Data that is Relevant to the Problem Maintain an intimate understanding of company and department strategy Translate analysis requirements into data requirements Identify and understand the data sources that are relevant to the business problem Develop conceptual models that capture the relationships within the data Define the data-quality objectives for the solution Be a subject matter expert in data sources and reporting options 
 Architect Data Management Systems Leverage understanding of the business problem and the nature of the data to select appropriate data management system (Big Data, OLTP, OLAP, etc.) Design and implement optimum data structures in the appropriate data management system (Hadoop, Teradata, SQL Server, etc.) to satisfy the data requirements Plan methods for archiving/deletion of information 
 Develop, Automate, and Orchestrate an Ecosystem of Processes that is Fast and Reliable for Varying Volumes of Data Identify and select the optimum methods of access for each data source (real-time/streaming, delayed, static) Determine transformation requirements and develop processes to bring structured and unstructured data from the source to a new physical data model Develop processes to efficiently load the transform data into the data management system
 
 Prepare Data to Meet Analysis Requirements Work with the yield engineers to implement strategies for cleaning and preparing data for analysis (e.g., outliers, missing data, etc.) Develop and code data extracts Follow best practices to ensure data quality and data integrity Ensure that the data is fit to use for data science applications RequirementsEDUCATION REQUIRED  Bachelors Degree Data Science Computer Science Software Engg Related field of Study 
 EXPERIENCE REQUIRED 2+ years experience in any of the following: Proficient with one or more high-level client, object-oriented language (e.g., C#, C++, JAVA, Python, Perl, etc.). Proficient with one or more web programming language (PHP, MySQL, Python, Perl, Javascript, ASP, etc.). Significant experience with big data processing and/or developing applications and data sources via Hadoop, Yarn, Hive, Pig, Squoop, MapReduce, HBASE, Flume, etc. Additional Information: The expectation is that you will have a minimum of 2 years professional experience or equivalent combination of education and experience based on the above requirements
 
 QUALIFICATION




 Ability to work with multiple operating systems (e.g., MS Office, Unix, Linux, etc.). Experience with Microsoft and other tools (Tableau, HTML, MDX, Integration Services, Analysis Services, Reporting Services, SharePoint) Understanding of how distributed systems work Familiarity with software architecture (data structures, data schemas, etc.) Strong working knowledge of databases (Oracle, MSSQL, etc.) including SQL and NoSQL Strong analytical, problem solving, and organizational skills Excellent oral, written, and technical communication skills and a solid command of the English language Experience in group presentation and public speaking Enthusiastic and positive attitude that anything is possible Self-motivated and team oriented"
184,Data Scientist,RANDSTAD PTE. LIMITED,"$7,000to$9,000Monthly","Roles & Responsibilitiesabout the company Our client is one of the largest insurance companies leveraging and focusing on technology-driven business models and capabilities to drive business results. They are looking for a passionate Data Scientist who is able to source and develop data models to drive the analytics developed by the analysts and data engineers about the role   Work with business groups to conceptualize, drive and implement proof-of-concepts   Develop Machine Learning and AI solutions to solve business problems   Help the team deploy models to practice and make frequent model improvements as new data is available   Identify and document best practices and frameworks to streamline and standardize workflows   Advise on implementation of advanced data analytics models with actionable outcomes    
 Requirementsskills and experience required   Masters or Ph.D. in Statistics, Mathematics, Computer Science or related fields   4+ years of industry, hands-on experience in Machine Learning, Predictive Analytics, AI   Good knowledge in a wide variety of advanced data analysis and machine learning techniques, and experience in developing solutions in response to real-world business problems   Experience in working with large unstructured datasets, deep learning and applying novel machine learning techniques to generate novel insights   Strong programming skills (SQL, Python, R, Scala, Java and/or SAS)   Experience with deep learning frameworks such as TensorFlow, Keras; Caffe, Torch   Familiarity with setting up and executing machine learning tasks on Google Cloud platform and/or Amazon AWS   Exposure to Hadoop/Spark or similar big data frameworks   To apply online please use the 'apply' function, alternatively you may send your CV to sarah.yang@randstad.com.sg or contact Sarah Yang at +65 6510 3633. Referrals are greatly appreciated! (EA: 94C3609/ R1657816)"
185,Senior Data Engineer,Company Undisclosed,"$8,000to$11,000Monthly","Roles & ResponsibilitiesYou will be a key contributor to the Data Engineering team, primarily by applying and building tools to gather data from disparate sources, processing and loading the transformed data to support internal and external constituencies. You will be required to maintain and enhance our data infrastructure and analytical solutions. This role is a hands-on engineering position. Responsibilities  Design and implement scalable and robust software platform for ingesting and transforming in (near) real-time using a variety of open-source and proprietary Big Data technologies Recommend and implement ways to improve data reliability, efficiency and quality Work closely with stakeholders to ensure high standards of data governance during implementation Serve as technical subject matter expert in latest big data technologies  Requirements 7+ years of superior software development experience building commercial large-scale software systems and database systems Proven expertise in Business Intelligence, Analytics and Big Data activities; relevant experience in web, video, mobile or adtech domain is a definite plus Proficiency in SQL coding is mandatory. T-SQL is a plus. Strong scripting knowledge like Shell, Python, etc. Experience with Hadoop frameworks such as Hortonworks associated open source tools (MapReduce, Tez, Spark, HBase, NoSQL etc.) Production coding experience in Scala, Spark programming languages and development frameworks will be considered favourably Expert knowledge in data management technologies and software engineering tools to efficiently process large volume of data Experience in Web UI, middle-tier, and backend development Demonstrated clear and thorough analytical thinking A proven team player and contributor who can multi-task and deliver against timelines Minimum degree in Computer Science/Engineering, Statistics, Mathematics, or equivalent "
186,Data Analyst,MAYBANK KIM ENG SECURITIES PTE. LTD.,"$4,000to$6,000Monthly","Roles & ResponsibilitiesJob Description  Assist in regional product management projects implementation Participate in project planning sessions with users for functional requirement gathering Assist in developing and testing of new functionalities and features Support the data warehouse in identifying and revising reporting requirements Assist in designing and developing reports or templates Provide technical expertise on data storage structures, data mining and data cleansing Provide troubleshooting and functional support for the regional product management system users Provide functional system maintenance such as managing master data, including creation, updates & mapping and user administration of regional product management system System Technical documentation Ad hoc reports/projects support as assigned  
 RequirementsRequirements  Minimum of 4 years experience. Experience in developing application Front-End GUIs.
 Proficient in C# and MSSQl Exposure to ASP.NET, WPF, WCF, Javascript, Python, FIX Engine and Message Bus Services a plus. Solid knowledge of MVVM design patterns. Understanding of the brokerage business or financial instruments is a plus. Team player with positive attitude Works well in changing environments where goals and objectives are subject to evolution. "
187,APAC Data Engineer,UPS ASIA GROUP PTE. LTD.,"$4,091to$5,454Monthly","Roles & ResponsibilitiesSummary The Data Engineer will be responsible for expanding and optimizing the data and data pipeline architecture, data flow and collection for the Data Science team and creating Application Programming Interface (APIs) to integrate the models with production systems. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support the Data Analysts and Data Scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. Responsibilities:  Creates and maintains optimal data pipeline architecture. Assembles large, complex data sets from multiple data sources that meet functional / non-functional business requirements. Identifies, designs, and implements internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Builds the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and no SQL technologies. Builds analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. Works with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Develops data design based on exploratory data analysis to meet stated business need. Works with team to select and implements model development process from statistics and machine learning to answer business problems. Reviews and creates repeatable solutions through written project documentation, process flowcharts, logs, and commented clean code to produce datasets that can be used in analytics and/or predictive modeling. Synthesizes insights and documents findings through clear and concise presentations and reports to inform stakeholders. Develops procedures to monitor model and production system performance/integrity. Supports analysis and integration of tools and methods to provide desired results from models and requirements. Provides consultation to functional partners to support the design of planning systems. Creates technical documentation in compliance with internal Software Development Lifecycle to communicate and update project teams and stakeholders. Develops data features that will serve as inputs to AI/Machine Learning/OR techniques. Acts as subject matter expert with investigating and evaluating emerging technologies. Articulate potential competitive market benefits of new technologies to senior management. Maintains broad understanding of implementation, integration, and inter-connectivity issues with emerging technologies.  RequirementsSkills and Qualifications  Advanced working Structured Query Language (SQL) knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience in building and optimizing big data data pipelines, architectures and data sets. Experience in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Possess strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata, dependency and workload management. A successful history of manipulating, processing and extracting value from large disconnected datasets. Strong project management and organizational skills. Experience in supporting and working with cross-functional teams in a dynamic environment. Possess 3 - 5 years of experience in a Data Engineer role who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. Possess experiences in using following software/tools: 	 Experience with big data tools: Hadoop, Spark, Kafka, etc. Experience with relational SQL and NoSQL databases, including Postgres and Cassandra. Experience with AWS cloud services: EC2, EMR, RDS, Redshift Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.   "
