,job_title,company,employment_type,salary,job_description
334,Market Data Business Analyst  /  Project Manager,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Contract,"$6,000to$9,000Monthly","Roles & Responsibilities Engage customers and operational staff in documenting detailed requrements as we progress through our strategic customer journey. Working with Trade Services management team, implement a PMO framework; build programme-based business plans, project budgets and resource break-down streams that allow investment decisions. Monitor progress and delivery across the portfolio of approved projects and business plans. Manage communication plans across the division and our customers. Provide structured reports to management on programme execution performance, resource management and cost management across the portfolio. Where a vendor-lead solution is appropriate, work with the market data team, engaging with our vendors and sourcing colleagues, to prepare RFIs, RFPs.  Requirements Demonstrated experience in project management and formal project management, preferably with PMP / PRINCE2 qualifications 10+ years experience working in banking environments or other highly regulated environments. 10+ years working in the market data industry, with market data product awareness and exposure to market data contracts and technologies. 10+ years working with market data delivery technologies and associated commercials. Demonstrable experience in executing RFI and RFPs as a market data subject matter expert. Experience in managing resource groups in matrix organisations and in leading teams of less than 5 people. Experience in working with the SDLC and development teams. Comfortable in communicating with SVP, ED and MD leaders.  Preferred Experience  Experience in working with financial sales and trading staff; financial business management is a plus Book keeping or financial accounting knowledge is a plus. Public cloud experience is a plus. "
335,Business Analyst (Finance),NANYANG TECHNOLOGICAL UNIVERSITY,"Contract, Full Time",Salary undisclosed,"Roles & ResponsibilitiesAs a business analyst supporting the Finance Function, the incumbent will be part of the CFO office and work closely with the various finance units to analyse and define user requirements, recommend and evaluate appropriate end-to-end IT solutions and manage project and change implementation. The key finance units are Financial Accounting, Financial Planning & Reporting and NTU Shared Services. The individual will leverage their proficiency in Finance Systems yet well versed with other administrative system functions like HR / Student Administration Systems / Research Systems and Project Management to partner with cross functional stakeholders throughout the organization at all levels. Job Responsibilities As a business analyst, you will need to:   Assist in the collection, assessment and management of functional requirement    Collaborate with key stakeholders to develop IT solutions    Participate and lead development of functional and technical design, support configuration and development, system testing, coordinating user testing, implementation support, post go-live support and preparation of training / user manuals   Drive key projects from initiation through to delivery including status report on project schedules and budget spend   Perform resource planning and prioritization of business needs for function    Facilitate prioritization and status meetings with vendors, business and IT partners, as required   Perform Issue and risk management   Proactively deal and resolve customer satisfaction issues in supporting the business units   RequirementsJob Requirements   Bachelor degree in Information Management / Computer Science degree / Information Technology is required.    The incumbent
must have a minimum 5-8 years of IT experience and working on business analysis, including a thorough understanding of how to interpret customer business needs and translate them into application and operational requirements. The candidate(s) should demonstrate strong relevant experience in developing Finance functional systems.   Proven track records of implementation of projects and a good understanding of finance process, workflows and best practice   Understand the variety of finance IT solutions supporting business automation, finance re-engineering and day-to-day operation   PMP (Project Management Professional) certification or designation is an added advantage with 2 or more years managing IT projects using best in class Project Management practices and frameworks    Deep technical knowledge as well as good knowledge of Finance systems and processes.    We regret that only shortlisted candidates will be notified."
336,BUSINESS PROCESS ANALYST (REF CODE: 1806IT-BPA),SINGAPORE LNG CORPORATION PTE. LTD.,"Permanent, Full Time",Salary undisclosed,"Roles & ResponsibilitiesGeneral Overview:   The successful candidate will liaise closely with other members of the SLNG business groups to undertake an assessment of their business needs, develop required business process maps and functional specifications and follow on with procurement and integration of the associated IT applications and systems into the company.   
   Duties and Responsibilities:  The incumbent shall be responsible for, but not limited to, the following scope of tasks and duties:   Develop an all round understanding of the SLNG business model and the roles / responsibilities of the various business groups that are tasked with achieving excellent business performance and deliver operational effectiveness. Identify the company-wide business process needs and fully document these to the various levels of detail required i.e. Level-1 through Level-4. Define the various business group cross-functional user requirements and prepare the functional specifications that capture the manner by which work is to be executed, and by whom, in order to meet the commercial obligations of the company. Liaise with all business groups and external stakeholders to build an understanding of the key IT applications and systems that will be required to provide the technical, commercial and financial business solutions to fully support the efficient delivery and implementation of business processes into SLNG. Work with the information systems team to transfer business process knowledge and intent for the purpose of supporting the planning, development, testing and deployment of the required IT applications and systems. Manage and collaborate with external service providers such as Business Process Consultants and Business Solutions / Systems Integrators that are engaged by SLNG to develop, procure and implement the business processes and IT applications and systems that will be required by SLNG for the effective management of SLNGs business; and Contribute to the deployment of the business processes, IT applications and systems within SLNG and provide familiarization training, as required; Regularly monitor the IT application and systems effectiveness in meeting end user requirements and manage any changes required. Follow up with external service providers on any defects raised and track these to closure.  RequirementsWork Experience Requirements:   Up to 2 years experience of leading organisational change, business process management including business needs assessments, business process engineering or re-engineering, application development, quality/change improvements. Expert abilities in Microsoft Office Suite software including Word, Excel, PowerPoint, Visio, MS Project, etc. Active learner and detail-oriented professional with strong analytical and problem solving skills. Ability to quickly develop an in-depth working knowledge of the range of SLNG business activities. Able to work with staff and managers across all levels.  
   Education Requirements:  Degree in Computer Science/Engineering or Computer Studies or equivalent from reputable university. "
337,Data Engineer,Company Undisclosed,Full Time,"$7,000to$9,000Monthly","Roles & ResponsibilitiesWe are requiring Data Engineering for long term projects. This person will be responsible for
developing cutting edge products and solutions. She will be part of the team to offer innovative and ingenious solutions for clients in banking. The Data Engineer ensures that any data is properly received, transformed, stored, and made accessible to other users. The Data Engineer will constructing data pipelines as well as building APIs for data consumption. Besides this person will support
the Data Platform. They will ensure ensure optimized performance by monitoring the system. RequirementsYou will need to have minimum 5 years of IT development experience. The ideal candidate will have experience working with file transfer solution (CFT, sfTP, MQ, kafka) and should be have strong knowledge and experience with reporting packages/tools (tableau etc.), databases (SQL etc.), programming (Python, R, JavaScript or ETL frameworks). The candidatre should be have knowledge of statistics or experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.). Prior experience with data management tools (Ab initio) and Advanced SQL database management is 
a plus."
338,"Analyst, Data Science and Intelligence (1 Year Contract)",RESOURCE SOLUTIONS CONSULTING SINGAPORE PTE. LTD.,"Part Time, Contract","$2,850to$4,380Monthly","Roles & ResponsibilitiesMUFG Bank, Ltd, a member of Mitsubishi UFJ Financial Group Inc (MUFG), is Japans premier bank, with a global network spanning more than 40 countries. Outside of Japan, MUFG offers an extensive scope of commercial and investment banking products and services to businesses, governments and individuals worldwide. In the Asia and Oceania region, MUFG has presence in 13 key markets with 32 offices and closed to 4,500 employees serving largely corporate and institutional clients. Singapore has served as the regional headquarters for South Asia, South-east Asia and the Oceania region since July 2013. While the regional headquarters for the East Asia region remains in Japan. MUFG is one of the worlds leading financial groups with total assets of JPY 258.1 trillion by the end of March 2014. MUFGs services include commercial banking, trust banking, securities, credit cards, consumer finance, asset management, and leasing. The Groups operating companies include MUFG, Mitsubishi UFJ Trust and Banking Corporation (Japans leading trust bank), and Mitsubishi UFJ Securities Holdings Co., Ltd., one of Japans largest securities firms. MUFGs shares are traded on the Tokyo, Nagoya, and New York (NYSE: MTU) stock exchanges respectively. Job responsibilities include:  To manage data teams end-to-end activities which includes raw/reporting data production in SAS Enterprise Guide, data cleansing and reconciliation to support Credit Risk Management for Asia region To identify and implement business process improvement to meet the reporting and business requirements, ensuring process and data quality control To manage regular and adhoc data requests from internal and external stakeholders To contribute to projects for enhancing risk management framework including defining its measurements and establishing the methodology of setting risk limits  RequirementsJob requirements include:  Degree in analytics, engineering, computing or other equivalent 1-2 years of relevant experience Knowledge of programming skills (VBA, SQL and SAS) is required Understanding of database design principles is a plus Basic understanding of risk management related modules and measurements is also a plus Team player with a positive attitude and ability to perform tasks independently to meet tight deadlines  Recruiter Name: Natalie Tan EA License No: 12C5536 EA Registration No: R1106672



 
 We regret to inform that only shortlisted applicants will be notified."
339,"Lead Engineer, DCIM ( Data Centre Infrastucture Management)",KEPPEL DATA CENTRES HOLDING PTE. LTD.,Full Time,"$4,500to$6,500Monthly","Roles & Responsibilities Ensure DCIM systems are operating as designed to protect the data center, capture power usage, calculate available capacity, and provide meaningful, timely alarms, notifications and reports to end users Interface with design consultants and BMS vendors to ensure BMS reliability objectives are met for new data center deployments and data center retrofit projects. Coordinate application deployments and IT infrastructure between the vendor and Corporate IT departments. Provide tactical leadership to implement enterprise alarming standards at the site level. Ensure site alarms are delivered to the Keppel Control Center teams Develop validation program for system alarms to ensure the right alarm is received by the right person at the right time. The configuration of EPMS applications in support of new data center deployments, new data requirements and data center retrofits. Create standards and follow implementation by regional engineers on system administration of DCIM systems which include: application/database backups, redundant platform readiness, licenses management, infrastructure coordination for application support, etc. Prepare and maintain DCIM systems support documentation, test plans, and change management records. Coordinate DCIM systems Ethernet and IT requirements with internal IT operations. Engage, lead, and direct vendors via Scope of Work and Requests for Proposals/information documents. Implement corporate policies procedures and standards to maximize the performance of systems, applications and networks. Work closely with co-workers, maintenance personnel, project managers, building managers, engineers, and contractors on site-specific projects. Perform inspections, and assist in the testing and commissioning of the facility system (as required).  Requirements Degree in Electrical Engineering, Engineering Technology, or other related Engineering degrees or equivalent professional experience. 10 or more years of experience with critical monitoring/control systems and support for critical facilities. Working knowledge and experience with a BMS and building EPMS systems. Familiarity with power distribution systems in a data center environment or similar critical systems environment. Expertise in systems Programming using Java/C++, data modelling and event processing techniques. Demonstrated experience with SQL and No-SQL technologies (Cassandra, Storm, MongoDB etc.) Highly desired to have hands-on experience with Datacenter infrastructure monitoring platforms and frameworks. Experience performing commissioning, qualification & change control activities related to BMS including but not limited to HVAC, chiller plants, domestic and process water systems, building automation systems, etc. Ability to read, interpret, and produce engineering documents that may include: Control Drawings, Sequence of Operations, Bill of Materials, Graphical User, Interface requirements, and Functional Specifications. Experience with BAC-net, Modbus, TCP/IP configuration, SNMP communication protocols, Active Directory security and Microsoft Office tools. Understanding of basic power calculations on single and 3-phase circuits, electrical diagrams, control diagrams Demonstrated experience with cloud computing and IoT models/architecture is preferred "
340,AI and Data Engineer,FLEXOSENSE PTE. LTD.,Full Time,"$3,600to$4,600Monthly","Roles & ResponsibilitiesThere is an opportunity to make a difference where it matters. We are looking for visionaries who are keen to make a positive impact on the way the world lives. 
 At FlexoSense, the future is yours to determine, create and enjoy. Join us as the pioneering team on a game-changing journey. Job Responsibilities  Interact closely with research project team which includes academics, clinicians and industry partners. Conceptualise, develop, integrate and maintain in-house AI and Cognitive solution. Apply state-of-the-art AI algorithms, explore alternatives and build working prototypes. You will also deploy systems and scale the solution. Create models, train and leverage machine learning APIs to build solution with embedded intelligence in use-cases like Chatbots. Follow Agile/Lean/Scrum software methodologies for development. Certified ScrumMaster (CSM) will be an advantage. To research and be updated on the state of the art on AI, data engineering and data science practices. Be plugged into the wider community on these key areas.  
 Requirements
 1. Bachelors or Masters degree in AI, Machine Learning, Statistics, Computing, Biostatistics, Information Technology, Social Sciences or related fields. 
 2. Experience preferably in  Open source DevOps tools and software-as-a-service solutions Development and implementation of AI and machine learning algorithms AI or deep learning work at a commercial company or research laboratory. Experience in building deep learning models with popular frameworks e.g. TensorFlow. Knowledge of common machine learning techniques and key parameters that affect performance.  3. At least 2-3 years hands-on experience in developing applications and with various data analysis and visualisation tools. Experience with R and/or Python. 4. Proven experience with track record of processing and extracting value from large data sets. i.e. Data analysis and discovery with new insights. Understand relevant statistical measures (development and evaluation data sets, confidence intervals, significance of error measurements, etc) 5. Data warehousing/RDBMS experience with SQL Server, Oracle, MySQL, etc. 6. Demonstration of self-learning through hackathons, MOOC or open user-group and conference participation. Self-motivation with side projects, Kaggle competitions, etc. 7. Proficient in running deep learning modules on Cloud platforms like Azure or Google Cloud. 
Able to use Virtual Machine instances on these platforms. Experience in test automation, test-driven development and cloud-based implantation will be an advantage. 8. Strong system-building and management skills and keen interest in working with emerging technologies and frameworks. 9. Good awareness of security considerations/best practices for web-facing applications. Having a strong interest in learning new security technologies and tools are essential. 10. Good data skills; able to combine technical visualisation libraries (e.g. Python) with more user-friendly tools like Tableau. Ability to apply good design principles to visualisation, dashboard and reports 11. Strong communication skills and early adopter and growth mindset is highly regarded. Ability to present and explain difficult concepts clearly and concisely in plain English. 
 About FlexoSense FlexoSense is a startup with co-founders from the National University of Singapore. Our flexible sensors enable new experiences in markets like healthcare, lifestyle, sports, robotics and more. We champion those with bold ideas and with a can do spirit in creating a difference for our customers. We want to spark something remarkable in bringing together people committed to a common goal. 
"
341,Business Analyst (Counterparty Risk) (JD#4301),Company Undisclosed,Contract,"$6,000to$11,000Monthly","Roles & ResponsibilitiesJob Summary We are looking for a Business Analyst with good business domain knowledge in Treasury & Markets space to work on a project relating to Counterparty Risk. RequirementsMandatory Skill-set  Degree
in Quantitative Finance or Financial
Engineering; At least
5 years of relevant Business Analyst experience in the Financial Services Industry; Hands on experience in Credit or Counterparty Risk
projects; Proficient
in Microsoft Excel, VBA, SQL queries and / or
Qlikview
for data analysis and reporting; Have strong derivatives product knowledge; Strong financial background and comfortable with numbers; Excellent stakeholder management skill to liaise with people across different levels and departments; Good presentation skills to be able to articulate clearly with attention to details; Resourceful, active team player with strong analytical skill; Excellent verbal and written communication skills.  Desired Skill-set  Have hands on experience working with Murex Limits Controller; Scrum certified.  Responsibilities  Responsible for working with business users to gather, understand, collate and document functional and non functional business requirements; Involve in new project implementation, enhancements, proof of concepts
and Business As Usual operational support; Work closely with the technology team to articulate business requirements and translate into technical specifications; Coordinate closely with stakeholders to conduct business requirements walk-through on enhancements and new projects; Perform functional sanity checks and work with test automation specialist in achieving test
automation;
 Create and execute testing plans and coordinate both the System Integration Testing and User Acceptance Test; Identify obstacles, proactively mitigate risks and escalate issues to be resolved effectively; Support in the Business-As-Usual activities and ensure that users requirements and requests are delivered timely, accurately and successfully.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified.
 Sciente International Pte Ltd (EA License: 07C5639)"
342,Credit Business Analysts,NTT DATA SINGAPORE PTE. LTD.,Contract,"$7,000to$10,000Monthly","Roles & ResponsibilitiesThis role requires an experienced Business Analyst, with 1st hand knowledge of E2E credit life cycle management from credit origination to credit monitoring, to implement the product backlog via Agile processes. The candidate is expected to grasp the current operating model upon joining, and work to define the target state operating model for the team (to which he is assigned to). In addition, the candidate will be working as part of virtual team with members in both DBS Singapore head-office, as well as our Offshore Development Center (ODC), with regular visits to the ODC team. Key Roles and Responsibilities On a day to day basis, the desired candidate will be responsible:  Incepting teams, initiate requirements gathering, and conceptualizing initial MVP Build and manage product backlog with Developers, UI/UX Designers, Product Owners as part of continuous build-measure, and learn process Engage UI/UX Designers, Users on Product design, testing for continuous feedback, by conducting user interviews, synthesizing findings and learning with the team, and using feedback to groom and prioritize product backlog Work with the team to prioritize, and implement pipeline(s) for continuous release and deployment Lead engagement of external parties (business, tech) where there are product dependencies (e.g. interfaces, data, project/release, clarifications) Engage Users to define user story acceptance criteria, and validate user stories for acceptance Motivating the team and create a work environment that supports experimentation, learning and continuous improvement Publish the team burn-up/burn-down for MVP delivery, or otherwise identify and publish other metrics of the teams progress  Requirements Knowledge of Credit risk management processes, to manage products under the banking book (Lending, Trade Finance and CASA), and E2E credit risk management operating model Agile experience in product backlog management, testing Proven track record in the delivery of credit risk technology solutions Minimum of 5 years of working experience within an international banking environment, with at least 2 years in a credit-related domain A motivated self-starter with ability to multitask but requires minimal supervision to meet challenging targets, embody a `whatever it takes to get the job done attitude Able to operate independently and make sound decisions, but a team player with collaborative attitude and enjoys working in teams Effective problem solving and analytical skills with attention to detail, while maintaining a big picture outlook  
 Desired  Experience in descriptive and quantitative statistics, and in the manipulation, analysis, and visualization of data Experience coaching, guiding and enabling teams in Agile delivery processes, practices Experience working with virtual teams on project delivery A Bachelors degree in social science or engineering or equivalent work experience Understanding of current technologies employed by Tier 1 Financial Institutions "
343,Data Scientist,NIOMETRICS (PTE.) LTD.,Permanent,"$5,000to$10,000Monthly","Roles & ResponsibilitiesWHAT WE DO Niometrics captures, organises and extracts insights from some of the biggest and most complicated datasets that our modern societies currently produce. We put a magnifying glass on the realities collectively constructed by billions of connected individuals and machines, making sense of how humanity is re-creating wholly new digital universes with bits and bytes  universes that need to be seen, interpreted and explained. From taking deep dives into digital behaviours, to exploring the most intimate interactions between network technology and user experiences, we do it all. Our Data Science team consists of ambitious, creative and passionate individuals, united in the common goal of making a difference. With millions of users generating hundreds of TBs of data daily, our day-to-day job becomes an adventure of connecting digital signals with real-life habits to formulate granular audience insights  who they are, how they behave, and ultimately, how we can expect them to behave in the future. The action does not stop there  we also take pride in working with the latest high-end hardware and world-class software architecture. This means there are virtually no limits to the scope of future events we can model, giving us insights on not just people, but also the entire inter-connected ecosystem to which they belong. We are perfectionists and we do not hide it. You will join a thrilling environment, implementing and deploying data science solutions that are both efficient and secure, setting the basis for a groundbreaking software platform for the long run. RequirementsYOUR ROLE AS DATA SCIENTIST As a Data Scientist, you will work end-to-end, leading entire projects and owning their outcomes through their entire lifecycle. You will formulate hypotheses on structured and unstructured data, design experiments, draw meaningful conclusions and effectively communicate the results to business stakeholders. You will be part of a relentless team, curious to extract the highest value possible in the most effective way. You will put into action your machine learning skills, and together, we will build optimum algorithms for regression, classification, clustering, and information extraction. WHAT WE VALUE  BA/BS (or MA/MS) or equivalent experience in applied Data Science.  Proficiency in statistical packages and ML libraries for both big and not so big data (e.g. Python SciPy ecosystem, NLTK, Tensorflow or equivalent, Spark ML and MLlib, etc.)  In depth knowledge of cutting-edge machine learning algorithms, as well as the strengths and weaknesses of the different methods and algorithms on different applications.  Experience in Unix systems and scripting in bash.  Proficiency in code optimisation (knowledge of Cython or similar)."
344,Business Analyst,Company Undisclosed,"Permanent, Full Time",Salary undisclosed,"Roles & Responsibilities Assist in conducting requirement gathering as well as gap analysis to identify improvement opportunities Maintain project plans and ensure smooth communication throughout the project Ensure IT development priorities are managed in-line with business requirements Assist in system testing, User Acceptance Test and implementation activities Coordination and preparation of other related project assignments to be assigned Manage office related IT systems which include laptops, networks, call solution and other technology Perform other ad-hoc duties as assigned  Requirements Meticulous with keen attention to details, service-oriented, good team player and able to multi-task Ability to understand business processes and prior experience in related field will be advantageous Familiar with Microsoft Office applications (Excel & Word) Apply with your
updated resume stating your availability and last drawn/expected salary "
345,Data Engineer,PERX TECHNOLOGIES PTE. LTD.,Permanent,"$5,000to$8,000Monthly","Roles & ResponsibilitiesWhat Youll Do: 
 As a Data Engineer on the Analytics team, you will be the source of truth for Perxs most fundamental data - such as end-customer engagement and client usage data - along with core metrics such as daily (DAU) and monthly active users (MAU). Alongside designing & implementing the plumbing & infrastructure that will power the Analytics frameworks, you will also help lead the companys decision to use bleeding-edge data technologies and features, working directly with our infrastructure team to integrate them into the services you design at scale. In doing so, you will help empower the Engineering department, tens of co-workers, thousands of marketing analysts and millions of end customers to dream of new insights and new possibilities. 
 Who You Are: You are a go-getter & dreamer, wanting to join a community of extremely talented, forward-thinking & diverse engineers in the industry & region. You gain happiness in building & scaling resilient, robust, well performing, and end-to-end tested distributed systems that can power the most business-critical applications. You want to learn, work with, and leverage on cutting-edge open-source technologies. The ideal candidate has experience with and/or history of contributions to Python, Hadoop, Spark, Redshift, Cassandra, PostGREs, Ruby (on Rails) or similar technologies. You have experience in distributed systems, database internals, or performance analysis. RequirementsMS in computer science or a related field OR BS in computer science and 3 years of experience in software engineering. Backend development experience with a solid foundation in data pipelines, distributed systems, large-scale data processing. Experience with DBs like AWS Redshift, PostGREs, MySQL. Experience with ETL and query language. Proficiency with Python, Scala or Java. Experience with Ruby is a plus. Experience with Linux/Unix systems and AWS / cloud environments. Working knowledge of MapReduce, Hadoop, HDFS. Experience with Spark is a big plus! 
"
346,Finance & Business Analyst,ESSILOR AMERA PTE. LTD.,Permanent,"$5,000to$9,000Monthly","Roles & ResponsibilitiesYou will work in Essilor Mission, based in Singapore with a global scope, covering the inclusive business arm (2.5 New Vision Generation), philanthropy initiatives (EVF) and headquarter functions in Singapore, Paris and Dallas. As a Financial Analyst, you help our leaders to make sound financial decisions. Your responsibility ranges from modeling business scenarios to tracking performance metrics. Excellent at working on multiple projects at a time, you are focused on the details while being able to take on big picture challenges. You are comfortable working on large sets of data and making concise summaries and recommendations. 
 Responsibilities  Provide management with clear insights into business performance (inclusive business and philanthropy initiatives)
 through monthly reporting (both non-financial KPI and financial statements) Track status of operating expenses and accruals to improve the efficiency of spending Oversee working capital management of business operations to ensure healthy cash flow situation Perform in-depth analyses on key drivers of business growth, risks and opportunities. Establish and update mid and long term strategic business plans, and build investment scenario models for potential investment opportunities. Lead financial planning processes such as annual budgeting and quarterly forecasting. Manage the pricing policy (by customers and products) and its financial impact; oversee the pricelists in the sales system. Optimize the internal control process to improve the reliability and efficiency of non-financial and financial data and processes.  
 RequirementsQualifications  Bachelor's degree in business, finance, accounting or related areas, masters / MBA preferred At least 4 years of relevant work experience in financial/quantitative analysis or accounting Advanced proficiency in data analysis, comfortable working on complex spreadsheets Strong business acumen Ability to communicate with senior management and can craft and deliver a message with credibility Enjoy working in a multi-culture team, with proficiency in English. French and/or Chinese is a plus Capable of working independently with minimum supervision required "
347,Actimize Business Analyst - AML (Anti Money Laundering),NICE SYSTEMS (SINGAPORE) PTE. LTD.,Full Time,"$6,000to$10,000Monthly","Roles & ResponsibilitiesPosition: Business Analyst - AML Location: Singapore 
 NICE Actimize is comprised of talented, creative and dedicated individuals with a passion for delivering innovative solutions to the market.
 At NICE Actimize, we recognize that every employees contributions are integral to our companys growth and success. To find and acquire the best and brightest talent around the globe, we offer a challenging work environment, competitive compensation and benefits, and rewarding career opportunities. Come share, grow and learn with us  youll be challenged, youll have fun and youll be part of a fast growing, highly respected organization.
 
 NICE Actimize is currently seeking an experienced Business Analyst in AML domain to join our dynamic and growing Professional Services team located in Singapore. 
 Responsibilities 
  Communicate with clients to gather and document requirements Write Business and Functional specifications Conduct Functional workshops e.g. Data Mapping, Investigation workflows, Requirements traceability matrix Conduct Operational workshops e.g. Tuning, Data quality, Detection ratio, False positives, User management Elicitation of AML specific rules Write gap analysis report w.r.t data and requirements Requirements related coordination between Implementation and QA team Write test plans and conduct testing Prepare use cases, test cases and test data Perform data analysis Assist business users in UAT Provide consultancy to business in overall management and optimization of Data sourcing, Detection and Investigation process  
 RequirementsQualifications 
  8+ Years Financial services experience (Banking, Risk n Compliance) - A MUST 6+ Years Experience of anti-money laundering (AML) - KYC, CDD, EDD, SAM, WLF  A MUST Knowledge of AML regulations, Watch lists and reporting requirements  A MUST External Consulting or Professional Services experience at a vendor  A MUST Strong writing skills are essential SQL knowledge  Data analysis, Data validation Experience writing detailed specifications and gap analysis Ability to provide Business solutions Team orientation Able to thrive in a fast paced environment Ability to travel 20% of the time "
348,DevOps Engineer (Big Data),NTT DATA SINGAPORE PTE. LTD.,Contract,"$6,000to$8,000Monthly","Roles & Responsibilities
-
Experience
building solutions with Apache Kafka.

 - DevOps experience
deploying, monitoring, 
automating
and maintaining
distributed Big Data
cluster.

 - Understanding of system operations concepts (disk, network, operating systems).

 - Experience with automation and
provisioning
tools like
Ansible and Terraform.
 


 RequirementsWe are looking for candidate with strong system engineering skills in an operational role. We may also consider any (preferably
Big Data) developer
candidates who has experience working on the
Dev side in a
DevOps environment who are open to switch over to a opps heavy role.
"
349,Business Analyst / Project Manager  12 Month Contract (Renewable),ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Contract,"$9,000to$12,000Monthly","Roles & ResponsibilitiesBusiness context and main purpose of job: Being part of Transformation Office, this role serves as a liaison between business users and vendors, working on projects for Singapore. Key accountabilities:  Facilitate the definition of user requirement with business, conduct performance gap analysis, prepare requirement package (e.g. Business Requirement Specification, Process Map, Product Roadmap, Requirement Traceability Matrix, etc.); Understand and review To-Be processes, suggesting areas of improvements for As-Is processes; Work with stakeholders on scope and requirements management; Review requirements documented by vendors, ensuring all requirements are adequately defined in the Functional Design documents prior to sign-off from stakeholders; Function as a Project Manager when required;
 Lead business users in defining UAT test cases, ensuring all requirements are tested; Facilitate/Conduct user training for all users, off-shore teams and other departments using the application; Ensure all deliverables by the vendor are on-time.  Requirements University graduate preferably in Information Technology, Computer Science or related disciplines; Minimum 7 years of experience in Business requirement gathering & analysis, User Acceptance Test and User Management, with experience in General Insurance an added advantage; Project Management experience is a plus; Strong analytical and problem solving skills are required; Organized, structured and able to do detailed work and documentation; Experienced in Vendor Management; Excellent communication and interpersonal skills; Working experience in using Visio and documenting As-Is/To-Be processes and Use Case model;
 Be able to make occasional travel to other Asian countries when needs arise. "
350,Financial /  Business Analyst,VELOCITY ENTERPRISE PTE. LTD.,"Permanent, Full Time","$3,000to$5,000Monthly","Roles & Responsibilities perform financial modelling and business analysis to support business development;  manage finance accounts and weekly/monthly financial reports;  provide day-to-day general administration & clerical duties. Requirements no stranger to using MS Office (Word, Excel, Powerpoint, Access, SQL, VBA), Adobe Acrobat, and other productivity tools;  willing to pick up and perform financial modelling, and AI-related tools in particular Python3, while experience in Python or at least 1 other similar coding language (e.g. R, MatLab) is preferred;  equipped with a sense of self-deprecating humour."
351,Business Analyst,INTERSOFTKK (SINGAPORE) PTE. LTD.,Contract,"$6,000to$8,000Monthly","Roles & Responsibilities1.Manage multiple projects from conception to completion in a fast paced Acquisition environment implementing SDLC waterfall,agile Methodolies. 2. Good to have associated with any Pharma client 3. Although it is an integration project,we would also need this person experience in delivery. 
 RequirementsExpereince as Business Analyst Good to have a Pharma experience"
352,"Contract Staff (Senior), Application Development Lead, Institutional Banking Tech, T&O (18000190)",DBS BANK LTD.,"Permanent, Full Time","$5,000to$10,000Monthly","Roles & ResponsibilitiesJob Purpose  Responsible with the entire development process (technical analysis, design, development, testing and implementation). Team effort coordination, dependencies management. Establish best practices for coding standards and code review process. Key decision maker in frameworks and architecture. Design and implement the analytic data pipeline from storage layer to analytics layer. Work with data analyst to productionize the analytic data mart and optimize the performance. Deploy / configure analytic tools and optimize computing environment for analytic projects
 Automation and productionize analytic data marts, deploy analytic projects to production, deploy data science product via either API or batch job, automate the refresh of machine learning models. Deploy real time models.  Key Accountabilities
  Review activities from time to time and ensure project scheduled and cost is met Lead Technology team on how to implement the business requirements. Leading the Business Analyst and Developer to deliver business requirement. Understand the bank framework and ensure the delivery is follow the framework. Setup cadence and update management on the progress.  Responsibilities
  To evaluate the user requirement with BA and Development team and come out the schedule and feasibility. To have good understanding of the bank systems and where are the data located when needed Manage the project with the approved cost and agree scheduled Establish best practices for coding standards and code review process. Make collaborative decision on system framework design  Requirements Degree in Computing / Computer Science / Engineering preferred. 8+ years of experience, preferably in financial services industry.
 Java development experience, especially with integration and APIs. Experience with ETL, data transformation and analytics use cases. Data engineering skill with open source big data stack Familiarity with deployment and optimization of open source big data analytics stack on distributed environment Compiling, deployment, and configuration of open source data science tools including Python, R, Tensor Flow, and CPU computing Experience with Hadoop ecosystem and tools. Experience with CI/CD tools. Proven experience with agile methodologies (Scrum, Kanban) Excellent interpersonal skills are required to work within the department, across the broader T&O department, with business partners and with vendors. Strong communication skills, able to communicate effectively at all levels, and both internally and externally. Concise and precise. Experience with cloud computing preferred. "
353,"VP, Senior Visualisation Engineer, Group Consumer Banking and Big Data Analytics Tech (180001R9)",DBS BANK LTD.,"Permanent, Full Time","$9,500to$18,000Monthly","Roles & ResponsibilitiesSparkola is a new team that is highly cross-functional and has an ambitious vision. In this role, youll have the opportunity to define how DBS visualizes data and enable teams and users to make data-informed decisions. Data Visualization Engineers will help build custom visualizations, data-rich user interfaces, and shared visualization components to help our clients see and reason about data. Youll have the opportunity to leverage our massive datasets, work with the latest web technologies including d3 and React, and influence all our data products. You will have the opportunity to lead other engineers as we grow our team.   Responsibilities  Build visual interfaces and shared visualization components under supervision of senior engineers Collaborate with Data Engineers to iterate on the design and implementation of data visualization products Participate in design and code reviews 	
  Requirements A passion for UI and data visualization and a keen design sense.
 UI and UX skills, with experience building web and/or mobile interfaces Experience with cutting-edge JavaScript libraries and frameworks including d3, React, and redux Commanding grasp of HTML, CSS, and related web technologies Entrepreneurial spirit and out-of-the-box thinking "
